w,sharpe,cagr,ann_vol,max_drawdown,total_turnover
0.0,0.4144009853570369,0.09230479268029579,0.22274269594404664,-0.4131300597387526,22.545
0.1,0.4217228677672791,0.09284524009455808,0.22015699690677723,-0.4119066556185745,18.365
0.2,0.4215396310526899,0.09285589469486832,0.22027797116722794,-0.4122875195593422,18.375000000000004
0.3,0.42817856870026616,0.0942779308824464,0.22018367516297366,-0.41118251003369494,18.35
0.4,0.4241503350989731,0.09341759396192484,0.2202464226277845,-0.41249294954356286,18.384999999999998
0.5,0.425805096454733,0.09377719332831469,0.2202350185779988,-0.4124959400442929,18.355
0.6,0.4230567719449597,0.09311532090777486,0.2201012419200544,-0.41097539397244204,18.36
0.7,0.43177251609115935,0.09493397724791608,0.219870356981853,-0.4110882839341879,18.320000000000004
0.8,0.42439336221096663,0.09333773806409762,0.2199321346069953,-0.4164227767361902,18.525000000000002
0.9,0.4498002388367219,0.09858903281009712,0.21918403837461073,-0.4160357931507266,18.974999999999998
1.0,0.47784323347134783,0.10392521892577844,0.21748810414411768,-0.4243422931280239,22.859999999999996
