V_target,Lookback,Final,CAGR,MDD,Sharpe,Sortino,Calmar,Trades,TotalTax
10,10,9.19858332748079,0.15020485084254176,-0.17405560312013657,1.375979240113079,2.089989819352311,0.862970499943443,650,0.3395545401846365
10,20,6.317177140304901,0.12326812715560642,-0.16191690813326454,1.1489407368762716,1.60980306486957,0.7613048481271115,288,0.36628294947339574
10,40,4.739888375719476,0.10310285141560938,-0.16356794531975116,0.9665263872515945,1.2512469927237178,0.630336532100214,123,0.28201757228339364
10,60,4.260898213861795,0.09571667598023748,-0.174627668048135,0.9221521849622304,1.1758119496983728,0.5481186174567353,80,0.2667085436009346
12,10,13.165839603655115,0.17651062908861626,-0.20725575976234234,1.3545368413868242,2.070785173243976,0.8516560856548394,777,0.867701023576169
12,20,9.374581805256712,0.15158039901200393,-0.18749600920747733,1.1827478303528516,1.685206561251162,0.8084460018787372,349,0.5611957468783366
12,40,6.387102280640317,0.12404818524169148,-0.18647110916751797,0.9853854044342472,1.2952446994168094,0.6652407753431213,143,0.40350536664340897
12,60,5.153127391072587,0.10893316135052444,-0.18667706424837693,0.8760245159231992,1.0994591684793034,0.5835380033917132,91,0.3371344238183136
15,10,23.707000093349077,0.2209670104618311,-0.22901686170014468,1.357219663751831,2.0777094416816375,0.9648503993175255,912,1.604955253786531
15,20,14.43898632862789,0.18337921323014705,-0.22440887332590886,1.1577917251966945,1.650424319339655,0.8171656071898081,459,0.8902010049581717
15,40,9.014223260293223,0.14873725033861396,-0.2433711660766268,0.9567608705590483,1.2431959004119184,0.6111539535944172,210,0.8111695937662325
15,60,7.9518593698027225,0.13968888781044764,-0.22142723218715832,0.9095229901879025,1.1520573264881462,0.6308568572648622,128,0.575793167160916
18,10,39.60026209837381,0.26111802641089876,-0.2748260322873064,1.3498419524664198,2.1023683470444867,0.9501211520527388,1009,2.03493958963744
18,20,22.856761302502587,0.21815802128262063,-0.2771732423615245,1.149166207493462,1.6387444551516483,0.7870818244355321,524,1.8391045282308378
18,40,13.280534626632107,0.17715435479593045,-0.26656714363012124,0.9613285017060347,1.2453532883233314,0.6645768581357623,246,1.0673656394485374
18,60,10.734478480965231,0.16145985689311249,-0.2878324154297405,0.8933842410300007,1.1251418670575832,0.5609509153166407,162,0.7909091762817875
