date,trigger,portfolio_value
2011-08-04,TQQQ_STOP (-19.4%),1.2111
2011-08-08,QQQ_CRASH (-6.0%),1.1914
2018-10-24,TQQQ_STOP (-19.6%),5.9466
2020-02-27,QQQ_CRASH (-5.0%),8.4519
2020-03-09,TQQQ_STOP (-30.0%),8.4873
2020-03-12,QQQ_CRASH (-9.2%),8.3314
2020-03-16,QQQ_CRASH (-12.0%),8.3217
2020-09-03,QQQ_CRASH (-5.1%),17.1773
2022-05-05,QQQ_CRASH (-5.0%),25.5222
2022-09-13,QQQ_CRASH (-5.5%),24.112
2025-04-03,QQQ_CRASH (-5.4%),81.3116
2025-04-04,QQQ_CRASH (-6.2%),80.0196
