Strategy,Final,CAGR,MDD,Sharpe,Sortino,Calmar,Trades,TotalTax,FlipWindow,FlipThreshold,ReducedWeight,Lookback,Lag,Threshold
E03_Baseline,93.01510869669097,0.33089260940315257,-0.5520317737996261,0.8593753506497076,0.8711042558068508,0.599408630277971,816,11.561463153179723,,,,,,
F1_Best_FW40_FT3_RW70,132.3989842142845,0.36085716959294767,-0.4813653964920134,0.9161380280600826,0.975198992682353,0.7496533241124549,75,3.023276335201951,40.0,3.0,0.7,,,
F2_Best_LB20_L1_T-5_RW50,75.9295823569269,0.31396706059864443,-0.38584701756489015,0.9750503087849887,1.12074338696475,0.8137086625163372,461,6.461259776763476,,,0.5,20.0,1.0,-0.05
F3_Best_F3_GRADUATED,88.1140255374823,0.32635719673510644,-0.38394491964952937,0.9782945971146674,1.1297484578990746,0.8500104573151017,460,3.177320114114483,,,,,,
