windows,CAGR,MDD
"[150, 155, 160]",0.26420249874273005,-0.4892523637262536
"[150, 155, 165]",0.26420249874273005,-0.4892523637262536
"[150, 155, 170]",0.26420249874273005,-0.4892523637262536
"[150, 155, 175]",0.26929916771401574,-0.4892523637262536
"[150, 155, 180]",0.2590226545250309,-0.4892523637262536
"[150, 160, 165]",0.2596618643567057,-0.4948301564108597
"[150, 160, 170]",0.2596618643567057,-0.4948301564108597
"[150, 160, 175]",0.2525242067236748,-0.49708200950588044
"[150, 160, 180]",0.2565157625618175,-0.4929394769429729
"[150, 165, 170]",0.2650056238663008,-0.493234227601551
"[150, 165, 175]",0.255238749122751,-0.495326637983983
"[150, 165, 180]",0.2634453805500463,-0.4912087964805365
"[150, 170, 175]",0.2570436969669583,-0.4971005680614734
"[150, 170, 180]",0.2614469636464729,-0.4932315133590296
"[150, 175, 180]",0.23850673782987442,-0.5512472726194709
"[155, 160, 165]",0.2596618643567057,-0.4948301564108597
"[155, 160, 170]",0.2596618643567057,-0.4948301564108597
"[155, 160, 175]",0.24758966710614883,-0.5013025315519697
"[155, 160, 180]",0.2590426651320621,-0.4961970755304953
"[155, 165, 170]",0.2650056238663008,-0.493234227601551
"[155, 165, 175]",0.2500160431529459,-0.4998226976874701
"[155, 165, 180]",0.26436528523992986,-0.49466599004994183
"[155, 170, 175]",0.2520577691874948,-0.5014839853120677
"[155, 170, 180]",0.26329219890499034,-0.4965314992146882
"[155, 175, 180]",0.2482147614013681,-0.5512006589408311
"[160, 165, 170]",0.2650056238663008,-0.493234227601551
"[160, 165, 175]",0.2650056238663008,-0.493234227601551
"[160, 165, 180]",0.2650056238663008,-0.493234227601551
"[160, 170, 175]",0.263938099484325,-0.4950946838880499
"[160, 170, 180]",0.263938099484325,-0.4950946838880499
"[160, 175, 180]",0.2582092674499432,-0.551076181071855
"[165, 170, 175]",0.263938099484325,-0.4950946838880499
"[165, 170, 180]",0.263938099484325,-0.4950946838880499
"[165, 175, 180]",0.2582092674499432,-0.551076181071855
"[170, 175, 180]",0.2582092674499432,-0.551076181071855
