date,ic_spearman,eligible_count
2017-03-31,-0.07022577285795477,806
2017-06-30,0.00953621753128918,805
2017-09-29,-0.02698475204255847,826
2017-12-29,0.033626714492523246,654
2018-03-29,-0.025919750989143304,898
2018-06-29,-0.09210054119162395,894
2018-09-28,-0.1428218686448747,873
2018-12-31,0.296442598912327,890
2019-03-29,0.033021620911246885,923
2019-06-28,-0.0326195784539637,1111
2019-09-30,0.12771495934626345,865
2019-12-31,-0.14538213821337248,732
2020-03-31,0.21561622200161776,1140
2020-06-30,-0.08290152955773834,1033
2020-09-30,0.1329893510787091,983
2020-12-31,0.2717882359615046,801
2021-03-31,-0.015114826733034638,1130
2021-06-30,-0.17397505451058087,1013
2021-09-30,0.09211465514446525,1065
2021-12-31,-0.23614090945266186,758
2022-03-31,-0.03952986406888405,1159
2022-06-30,0.20561219638509215,1191
2022-09-30,0.07497363995622554,1196
2022-12-30,0.2898131880957136,872
2023-03-31,-0.15144131044355072,1135
2023-06-30,-0.0019634336748112235,1083
2023-09-29,0.0075022882804186486,1108
2023-12-29,-0.2103537536379337,917
2024-03-28,-0.10011598023092899,1079
2024-06-28,-0.07659709038168055,1096
2024-09-30,0.0377779688804686,572
2024-10-01,0.09931747459243678,462
