date,equity
2014-08-01,2.612230442313228
2014-08-04,2.665730287072613
2014-08-05,2.6033132782237622
2014-08-06,2.5988555792414263
2014-08-07,2.5738209565097616
2014-08-08,2.6286919028182565
2014-08-11,2.6763611809214014
2014-08-12,2.6701879860549496
2014-08-13,2.756954949923309
2014-08-14,2.7994797027349883
2014-08-15,2.8375469528004214
2014-08-18,2.9061369602796367
2014-08-19,2.956206205742966
2014-08-20,2.956206205742966
2014-08-21,2.9730116681108236
2014-08-22,2.9846714277706865
2014-08-25,3.017936780754865
2014-08-26,3.02822524262953
2014-08-27,3.0285692444923598
2014-08-28,3.0162230509955457
2014-08-29,3.0515461356018734
2014-09-02,3.0769247601963685
2014-09-03,3.024109779385229
2014-09-04,3.0145077513475163
2014-09-05,3.0611481636395856
2014-09-08,3.0765807583335385
2014-09-09,3.0018193221126666
2014-09-10,3.071436625514251
2014-09-11,3.0690364619179773
2014-09-12,3.020680946213969
2014-09-15,2.929800285226103
2014-09-16,3.009021186554105
2014-09-17,3.0237673474111064
2014-09-18,3.088926951830355
2014-09-19,3.082069089251745
2014-09-22,2.9983887228166117
2014-09-23,2.972325234273872
2014-09-24,3.0686940299438543
2014-09-25,2.873898903217826
2014-09-26,2.965809803669385
2014-09-29,2.955863773768843
2014-09-30,2.9668386694804605
2014-10-01,2.8248585235655717
2014-10-02,2.8234856558916666
2014-10-03,2.90853712387591
2014-10-06,2.888646633963533
2014-10-07,2.766556781724932
2014-10-08,2.926369882166136
2014-10-09,2.780618274869775
2014-10-10,2.572448088835856
2014-10-13,2.4520735362452837
2014-10-14,2.4565330013524145
2014-10-15,2.404062022404105
2014-10-16,2.3666796362869174
2014-10-17,2.459275400686723
2014-10-20,2.565246224394418
2014-10-21,2.7658703478879803
2014-10-22,2.7230031631021774
2014-10-23,2.8474929827009627
2014-10-24,2.9129948228582454
2014-10-27,2.9239697185698623
2014-10-28,3.0546327330351
2014-10-29,3.017936780754865
2014-10-30,3.036799974744874
2014-10-31,3.1619746582919053
2014-11-03,3.1945551473278377
2014-11-04,3.1606033605067076
2014-11-05,3.160261124768672
2014-11-06,3.1873532828863995
2014-11-07,3.179464984608008
2014-11-10,3.2120454736439426
2014-11-11,3.2425684272938127
2014-11-12,3.2604011855840387
2014-11-13,3.302241270683561
2014-11-14,3.3327626544447253
2014-11-17,3.301554836846609
2014-11-18,3.375631605355323
2014-11-19,3.3327626544447253
2014-11-20,3.3770025106683446
2014-11-21,3.4013526619239403
2014-11-24,3.478173203419581
2014-11-25,3.48949053110532
2014-11-26,3.5608231341549326
2014-11-28,3.6139803507041073
2014-12-01,3.480573563251943
2014-12-02,3.517954183244335
2014-12-03,3.5498480422072283
2014-12-04,3.539217540830617
2014-12-05,3.5416175081908015
2014-12-08,3.465140772321902
2014-12-09,3.4987501271689103
2014-12-10,3.3293336250373766
2014-12-11,3.3814621720115636
2014-12-12,3.2696607816476275
2014-12-15,3.1715782562183237
2014-12-16,3.014165515609483
2014-12-17,3.1760361514367483
2014-12-18,3.4088967621034136
2014-12-19,3.446963815932759
2014-12-22,3.478173203419581
2014-12-23,3.444906476782784
2014-12-24,3.452108341224223
2014-12-26,3.522069646488636
2014-12-29,3.5227560803255886
2014-12-30,3.450050609602072
2014-12-31,3.3420222505083146
2015-01-02,3.314587267944288
2015-01-05,3.1654052575879605
2015-01-06,3.0398865721781005
2015-01-07,3.1568305254726168
2015-01-08,3.33687772521685
2015-01-09,3.2693183496735045
2015-01-12,3.16883409075922
2015-01-13,3.166090121536207
2015-01-14,3.1173919776219856
2015-01-15,2.9935885918601532
2015-01-16,3.1002440832800056
2015-01-20,3.16883409075922
2015-01-21,3.217532234673442
2015-01-22,3.396550764842687
2015-01-23,3.4191854202141667
2015-01-26,3.4116409275625164
2015-01-27,3.1475709294090275
2015-01-28,3.093386220701398
2015-01-29,3.1828955839040636
2015-01-30,3.1098476812064244
2015-02-02,3.1914687461307
2015-02-03,3.2785779457370943
2015-02-04,3.2700030173856622
2015-02-05,3.3567697850179337
2015-02-06,3.295724270190368
2015-02-09,3.259372319772963
2015-02-10,3.415413762596606
2015-02-11,3.453823444636162
2015-02-12,3.5745404292008587
2015-02-13,3.6647360300043887
2015-02-17,3.6746820599049306
2015-02-18,3.6904570865730064
2015-02-19,3.7460146629545417
2015-02-20,3.8180336998411057
2015-02-23,3.8331238625609356
2015-02-24,3.8410105909506203
2015-02-25,3.810145401562715
2015-02-26,3.8681045151931426
2015-02-27,3.8170046377939424
2015-03-02,3.9198888640684117
2015-03-03,3.8636452463221005
2015-03-04,3.820777865300209
2015-03-05,3.8375815615432716
2015-03-06,3.705547249292836
2015-03-09,3.7412127658732883
2015-03-10,3.5340730155391515
2015-03-11,3.4720004010253063
2015-03-12,3.538531106993664
2015-03-13,3.4929195605126697
2015-03-16,3.626668976175045
2015-03-17,3.6469032717141623
2015-03-18,3.7518452296107827
2015-03-19,3.77002061611122
2015-03-20,3.848212455392059
2015-03-23,3.815975968218956
2015-03-24,3.7772224805526586
2015-03-25,3.5134964842619993
2015-03-26,3.4846886340240677
2015-03-27,3.5182979888710753
2015-03-30,3.644845932564189
2015-03-31,3.5320156763891775
2015-04-01,3.4723426367633405
2015-04-02,3.478173203419581
2015-04-06,3.5618518037299194
2015-04-07,3.545390343224891
2015-04-08,3.6297553773721822
2015-04-09,3.6973167152764104
2015-04-10,3.741556963972206
2015-04-13,3.7137781757814383
2015-04-14,3.68188392434637
2015-04-15,3.747043332529529
2015-04-16,3.7340109014318497
2015-04-17,3.5594518363697345
2015-04-20,3.7185785029739855
2015-04-21,3.76624895849366
2015-04-22,3.827293295904695
2015-04-23,3.8732486480124306
2015-04-24,4.024830821965032
2015-04-27,3.999109765396414
2015-04-28,3.9730464730897626
2015-04-29,3.8972546011691085
2015-04-30,3.714120411519473
2015-05-01,3.8643316801590526
2015-05-04,3.8780489752049774
2015-05-05,3.694230314079273
2015-05-06,3.615351648489306
2015-05-07,3.677424655475328
2015-05-08,3.812203133184866
2015-05-11,3.7703644217379613
2015-05-12,3.721664904171123
2015-05-13,3.740870530135254
2015-05-14,3.9065141972326978
2015-05-15,3.9061715690224865
2015-05-18,3.9541830828636657
2015-05-19,3.942865755177926
2015-05-20,3.9493831481432955
2015-05-21,4.011456155129318
2015-05-22,4.000481063181613
2015-05-26,3.8619313203266916
2015-05-27,4.047807713074547
2015-05-28,4.017971585733805
2015-05-29,3.9500680120915415
2015-06-01,3.9847060365135367
2015-06-02,3.9483540860961326
2015-06-03,3.9829909331015974
2015-06-04,3.8962255391219447
2015-06-05,3.8667316475192375
2015-06-08,3.7484146303147274
2015-06-09,3.7298954381875498
2015-06-10,3.877706346994766
2015-06-11,3.898969704581048
2015-06-12,3.799856743451962
2015-06-15,3.74738596073974
2015-06-16,3.8046586405332152
2015-06-17,3.8365528919682848
2015-06-18,3.99876752965838
2015-06-19,3.937721622358638
2015-06-22,4.0327191202434225
2015-06-23,4.042663580255258
2015-06-24,3.9805905732692355
2015-06-25,3.9545272809625835
2015-06-26,3.8811353764021153
2015-06-29,3.6067784862626677
2015-06-30,3.647932333761326
2015-07-01,3.7226935737461098
2015-07-02,3.736755066890953
2015-07-06,3.705203443666095
2015-07-07,3.724066441420014
2015-07-08,3.5375020449465002
2015-07-09,3.527213779307924
2015-07-10,3.691143520409959
2015-07-13,3.8797640786169163
2015-07-14,3.9576136821597214
2015-07-15,3.9764755024971117
2015-07-16,4.131830511483802
2015-07-17,4.320795267789678
2015-07-20,4.369150587257598
2015-07-21,4.357146825734906
2015-07-22,4.214137814008942
2015-07-23,4.163724762918871
2015-07-24,4.0454077457143605
2015-07-27,3.9414948498649043
2015-07-28,4.0454077457143605
2015-07-29,4.0906766639851435
2015-07-30,4.147605538151878
2015-07-31,4.134916912680939
2015-08-03,4.096849858851596
2015-08-04,4.070442368446026
2015-08-05,4.1657824945410225
2015-08-06,3.9658446086483248
2015-08-07,3.9500680120915415
2015-08-10,4.083474799543705
2015-08-11,3.92777755481898
2015-08-12,3.962414009352268
2015-08-13,3.9445812510620426
2015-08-14,3.9658446086483248
2015-08-17,4.063240504004588
2015-08-18,3.998423331559462
2015-08-19,3.9233178934757604
2015-08-20,3.600261485769476
2015-08-21,3.152372630254193
2015-08-24,2.778902975221748
2015-08-25,2.7422070229415136
2015-08-26,3.1379689013713152
2015-08-27,3.3831757055347964
2015-08-28,3.3804331099644
2015-08-31,3.254914424554538
2015-09-01,2.9596368050390214
2015-09-02,3.2003859102201666
2015-09-03,3.1475709294090275
2015-09-04,3.0422865395382845
2015-09-08,3.3005261672716215
2015-09-09,3.1856379832383714
2015-09-10,3.2874933437017657
2015-09-11,3.3406509527231165
2015-09-14,3.310814432910198
2015-09-15,3.426387284655606
2015-09-16,3.4836599644490804
2015-09-17,3.4932617962507044
2015-09-18,3.3454524573321933
2015-09-21,3.373916109471207
2015-09-22,3.2250781009777096
2015-09-23,3.2302222337969972
2015-09-24,3.1928398476798105
2015-09-25,3.1153344422359233
