date,ic_spearman,eligible_count
2017-03-31,-0.019042836956024215,806
2017-06-30,-0.03543618166163699,805
2017-09-29,-0.053728448295799064,826
2017-12-29,-0.02245330336619042,654
2018-03-29,0.00486962709258992,898
2018-06-29,-0.08870698225919209,894
2018-09-28,-0.04435663296720373,873
2018-12-31,0.2569339367690235,890
2019-03-29,-0.021972211170775222,923
2019-06-28,-0.013878221678620477,1111
2019-09-30,0.08154909460334474,865
2019-12-31,-0.06399323359488075,732
2020-03-31,0.19530214908194296,1140
2020-06-30,-0.048363971329367976,1033
2020-09-30,0.1554902588635604,983
2020-12-31,0.22697372374336058,801
2021-03-31,0.015749859607908204,1130
2021-06-30,-0.13057307222581693,1013
2021-09-30,0.08513327475354804,1065
2021-12-31,-0.17667703642696292,758
2022-03-31,-0.03906667336365732,1159
2022-06-30,0.22466216252650495,1191
2022-09-30,0.15084092714108965,1196
2022-12-30,0.19120068080860858,872
2023-03-31,-0.11880318318275256,1135
2023-06-30,0.010405390632682818,1083
2023-09-29,0.0053927244210293206,1108
2023-12-29,-0.20033954280738106,917
2024-03-28,-0.13610549858938217,1079
2024-06-28,0.01570963300497554,1096
2024-09-30,-0.04514279283323551,572
2024-10-01,-0.0017957175344518036,462
