Date,Hybrid_2.0,Core,Satellite,TQQQ_BuyHold,BIL_Cash,E03_Ensemble,E03_OFF_QLD,E03_OFF_Mix,E03_OFF_0pct
2022-04-11,18.112615001451427,17.296724622592226,1.2040528468848035,91.62069853804005,1.0457724900322107,48.96818440405,46.72089205676858,46.643492215765995,41.789348828360424
2022-04-12,18.103159847353048,17.296724622592226,1.2019173160783256,90.4411969741386,1.0457724900322107,48.905144009240075,46.68415027254956,46.601669202023594,41.789348828360424
2022-04-13,18.1469351192088,17.296724622592226,1.2118043513013579,95.86309773380995,1.0457724900322107,49.19832769800898,46.86916916378006,46.78874910292014,41.789348828360424
2022-04-14,18.09306281980987,17.294829064745095,1.199953183155621,89.41387692564294,1.0456578832327705,48.86249185683532,46.6494261886373,46.57321693601225,41.78476910995555
2022-04-18,18.09767811785128,17.296724622592226,1.2006792186235418,89.66118137012799,1.0457724900322107,48.88082634804297,46.668939072520914,46.587262696823444,41.78934882836042
2022-04-19,18.14237560010187,17.294829064745095,1.2110909140028272,95.42553226004526,1.0456578832327705,49.19026181942546,46.86210471412051,46.78289065884544,41.78476910995554
2022-04-20,18.1124485306706,17.298615130107617,1.2036997201606545,91.12607447794886,1.0458867914849383,48.978323535205,46.73454025409619,46.65304458724182,41.793916345028855
2022-04-21,18.068608873197384,17.298615130107617,1.1937981428721882,85.78025689041986,1.0458867914849383,48.6909972294663,46.547660577440396,46.468837532410994,41.793916345028855
2022-04-22,18.01064938597501,17.296724622592226,1.1810230040302467,78.9695689517516,1.0457724900322105,48.29961657486499,46.29423810657222,46.217951395922924,41.7893488283604
2022-04-25,18.037965732445187,17.298615130107617,1.1868771164772027,81.8993248251512,1.0458867914849381,48.48355839842908,46.42070263846023,46.33844539419907,41.79391634502885
2022-04-26,17.958644355653536,17.296724622592226,1.169277204523677,72.69158458704834,1.0457724900322103,47.933700896935754,46.058030213412586,45.98609019106838,41.789348828360396
2022-04-27,17.95678505287519,17.296724622592226,1.1688572644232393,72.36817421373932,1.0457724900322103,47.912374829841156,46.05297574041443,45.973569169813246,41.789348828360396
2022-04-28,18.02609472673184,17.30050732106692,1.1838801352726462,80.01591358606309,1.0460011947199033,48.4281346033724,46.38586934502926,46.30647548505947,41.79848792894277
2022-04-29,17.933202585498144,17.296724622592226,1.1635309540265573,69.4955224400294,1.0457724900322105,47.78187782713815,45.96010224191872,45.88983398351245,41.7893488283604
2022-05-02,17.964611346242737,17.298615130107617,1.1703093747042366,72.76766775919067,1.0458867914849381,48.01155551040639,46.11926330425705,46.040108368702555,41.79391634502885
2022-05-03,17.96504284063393,17.296724622592226,1.1707223593723697,72.9388966170939,1.0457724900322103,48.01813074123371,46.128984459832,46.04415837928494,41.789348828360396
2022-05-04,18.031436064675123,17.30050732106692,1.1850865240429407,80.16809510146885,1.0460011947199033,48.503504381507284,46.44748618484491,46.35858468013362,41.79848792894277
