Date,E03_Baseline,E40_SameDay
2010-02-11,0.9999,0.9999
2010-02-12,1.000309178688063,1.000309178688063
2010-02-16,1.004183998952061,1.004183998952061
2010-02-17,1.0058881160359252,1.0058881160359252
2010-02-18,1.0077950736176793,1.0077950736176793
2010-02-19,1.0077950736176793,1.0077950736176793
2010-02-22,1.0070875680297913,1.0070875680297913
2010-02-23,1.003155677335197,1.003155677335197
2010-02-24,1.0061892671415378,1.0061892671415378
2010-02-25,1.0061319107022304,1.0061319107022304
2010-02-26,1.0073870464458765,1.0073870464458765
2010-03-01,1.0117081417600386,1.0117081417600386
2010-03-02,1.0123164186891023,1.0123164186891023
2010-03-03,1.012878699280075,1.012878699280075
2010-03-04,1.013996799524604,1.013996799524604
2010-03-05,1.018478831291962,1.018478831291962
2010-03-08,1.0190219495577373,1.0190219495577373
2010-03-09,1.0208258298427186,1.0208258298427186
2010-03-10,1.0233238245172334,1.0233238245172334
2010-03-11,1.0242662579262973,1.0242662579262973
2010-03-12,1.0244999370787342,1.0244999370787342
2010-03-15,1.023810030127905,1.023810030127905
2010-03-16,1.0257459132412816,1.0257459132412816
2010-03-17,1.0264571970257512,1.0264571970257512
2010-03-18,1.0274982701201136,1.0274982701201136
2010-03-19,1.0256806803692784,1.0256806803692784
2010-03-22,1.0284512694098926,1.0284512694098926
2010-03-23,1.0306022418963265,1.0306022418963265
2010-03-24,1.0291362566365077,1.0291362566365077
2010-03-25,1.0284918537803942,1.0284918537803942
2010-03-26,1.0290274095961813,1.0290274095961813
2010-03-29,1.03043884099815,1.03043884099815
2010-03-30,1.0315192834975977,1.0315192834975977
2010-03-31,1.0301288894219607,1.0301288894219607
2010-04-01,1.0299251793689645,1.0299251793689645
2010-04-05,1.032902921164192,1.032902921164192
2010-04-06,1.0336897440014334,1.0336897440014334
2010-04-07,1.0331058767376242,1.0331058767376242
2010-04-08,1.0334760935338214,1.0334760935338214
2010-04-09,1.0353383739844704,1.0353383739844704
2010-04-12,1.0357545381903124,1.0357545381903124
2010-04-13,1.0373163283462907,1.0373163283462907
2010-04-14,1.040972070273961,1.040972070273961
2010-04-15,1.0423643412398704,1.0423643412398704
2010-04-16,1.0386539533422585,1.0386539533422585
2010-04-19,1.038490566419457,1.038490566419457
2010-04-20,1.040025990871745,1.040025990871745
2010-04-21,1.041856417634217,1.041856417634217
2010-04-22,1.043398635701403,1.043398635701403
2010-04-23,1.0447799516354779,1.0447799516354779
2010-04-26,1.0440034190747554,1.0440034190747554
2010-04-27,1.0375600625220653,1.0375600625220653
2010-04-28,1.0378040279020628,1.0378040279020628
2010-04-29,1.0431011190774724,1.0431011190774724
2010-04-30,1.036954400992827,1.036954400992827
2010-05-03,1.0411893487201624,1.0411893487201624
2010-05-04,1.0319845532746312,1.0319845532746312
2010-05-05,1.0302887366361595,1.0302887366361595
2010-05-06,1.0201953591833874,1.0201953591833874
2010-05-07,1.0127711439209102,1.0127711439209102
2010-05-10,1.027876811063605,1.027876811063605
2010-05-11,1.0278089738013731,1.0278089738013731
2010-05-12,1.0333469270446174,1.0333469270446174
2010-05-13,1.028675593769732,1.028675593769732
2010-05-14,1.0223457860697347,1.0223457860697347
2010-05-17,1.0237274722423777,1.0237274722423777
2010-05-18,1.0198146388253697,1.0198146388253697
2010-05-19,1.0171230660085517,1.0171230660085517
2010-05-20,1.006834881442762,1.006834881442762
2010-05-21,1.0076147248411609,1.0076147248411609
2010-05-24,1.0084477959721057,1.0084477959721057
2010-05-25,1.0077371612273969,1.0077371612273969
2010-05-26,1.0046195294045945,1.0046195294045945
2010-05-27,1.0154954656639714,1.0154954656639714
2010-05-28,1.0140765515628498,1.0140765515628498
2010-06-01,1.0112700927993143,1.0112700927993143
2010-06-02,1.0183865769085962,1.0183865769085962
2010-06-03,1.0210302521677033,1.0210302521677033
2010-06-04,1.0109480385969696,1.0109480385969696
2010-06-07,1.0050868927497205,1.0050868927497205
2010-06-08,1.0045267113836736,1.0045267113836736
2010-06-09,1.0023113515843685,1.0023113515843685
2010-06-10,1.0106276522455826,1.0106276522455826
2010-06-11,1.013266950830457,1.013266950830457
2010-06-14,1.013323659997768,1.013323659997768
2010-06-15,1.0207262332390736,1.0207262332390736
2010-06-16,1.022783243119686,1.022783243119686
2010-06-17,1.0238091264780296,1.0238091264780296
2010-06-18,1.024089213292523,1.024089213292523
2010-06-21,1.0213982534090287,1.0213982534090287
2010-06-22,1.0189814454756572,1.0189814454756572
2010-06-23,1.017616694950831,1.017616694950831
2010-06-24,1.0126825561618717,1.0126825561618717
2010-06-25,1.0126138808940708,1.0126138808940708
2010-06-28,1.0117070930321534,1.0117070930321534
2010-06-29,1.0004173184835106,1.0004173184835106
2010-06-30,0.9954731740748872,0.9954731740748872
2010-07-01,0.9945027702915126,0.9945027702915126
2010-07-02,0.993958723067272,0.993958723067272
2010-07-06,0.9944781966603558,0.9944781966603558
2010-07-07,1.003875797019504,1.003875797019504
2010-07-08,1.0055693809847543,1.0055693809847543
2010-07-09,1.008386899339552,1.008386899339552
2010-07-12,1.0095319903444027,1.0095319903444027
2010-07-13,1.0129801879717362,1.0129801879717362
2010-07-14,1.014600594483812,1.014600594483812
2010-07-15,1.0149546972583334,1.0149546972583334
2010-07-16,1.006785884955393,1.006785884955393
2010-07-19,1.009056596896528,1.009056596896528
2010-07-20,1.012244458613842,1.012244458613842
2010-07-21,1.0086997358718652,1.0086997358718652
2010-07-22,1.0155007026681384,1.0155007026681384
2010-07-23,1.0181441342057609,1.0181441342057609
2010-07-26,1.020381776649573,1.020381776649573
