w,dates_used,tickers_used,delta_cagr,delta_cagr_over_vol,delta_max_drawdown,delta_total_turnover,delta_total_cost
0.0,35,1636,0.0,0.0,0.0,0.0,0.0
0.1,35,1636,-0.0010836295902671989,-0.006480063985089268,-0.0029146192034196494,-0.040000000000000924,-9.310546062391185e-05
0.25,35,1636,-0.00886135034192792,-0.045587943532513386,-0.006676574616239606,-0.08000000000000007,-0.00034162637883713813
0.5,35,1636,-0.008964779873201545,-0.03545192856739099,-0.004959902465359295,-0.384999999999998,-0.0008030139935184515
0.75,35,1636,-0.02642675745934797,-0.1222238537761508,-0.0028729552032399353,-0.9399999999999995,-0.0017855204531436394
