date,ic_spearman,eligible_count
2017-03-31,-0.07743456472469223,806
2017-06-30,0.012076342346539657,805
2017-09-29,-0.021035065854592565,826
2017-12-29,0.03141550602853141,654
2018-03-29,-0.02525193365904618,898
2018-06-29,-0.09011172344945695,894
2018-09-28,-0.14777608269617903,873
2018-12-31,0.2957968736808932,890
2019-03-29,0.03149994837706663,923
2019-06-28,-0.03275060791120711,1111
2019-09-30,0.1210090160988627,865
2019-12-31,-0.14595447957873955,732
2020-03-31,0.2237389434507117,1140
2020-06-30,-0.08851192325253861,1033
2020-09-30,0.13049749586030726,983
2020-12-31,0.2751963285285477,801
2021-03-31,-0.013868319727706906,1130
2021-06-30,-0.17415619777352484,1013
2021-09-30,0.09176439565165301,1065
2021-12-31,-0.23517930508106472,758
2022-03-31,-0.03563589927442356,1159
2022-06-30,0.1982732255031008,1191
2022-09-30,0.08907192482290134,1196
2022-12-30,0.2958382800975893,872
2023-03-31,-0.1510793557539935,1135
2023-06-30,0.001380902813563597,1083
2023-09-29,0.008920611279988264,1108
2023-12-29,-0.2126864346037584,917
2024-03-28,-0.1049375938918868,1079
2024-06-28,-0.07811829095419671,1096
2024-09-30,0.04207876086494201,572
2024-10-01,0.09829698193840715,462
