Variant,Final,CAGR,MDD,Sharpe,Sortino,Calmar,Trades,TotalTax
C1_MA10_cap20,9.931293253220494,0.1557775117019149,-0.15030253185901798,1.3726904663525346,2.029558805466302,1.0364263979799913,791,0.36405842250631304
C2_MA20_cap20,10.454188274933061,0.15952353917145667,-0.15013365497879816,1.3632608197400469,2.0263883397709392,1.062543499616955,766,0.3777929420663989
C3_DD10pct_cap20,11.221582674614782,0.16471489306579024,-0.15031587160684512,1.340299162626223,1.9964838534582336,1.0957917570847482,731,0.561183754281626
C4_DD15pct_cap20,11.221582674614782,0.16471489306579024,-0.15031587160684512,1.340299162626223,1.9964838534582336,1.0957917570847482,731,0.561183754281626
C5_MA20_HighVol_cap10,11.478044207412283,0.16637584154186236,-0.1503158716068449,1.3615119160936582,2.0328314898429465,1.1068414783039195,746,0.5302194332325925
