date,ic_spearman,eligible_count
2017-03-31,-0.04084785010435205,806
2017-06-30,0.03202356178058608,805
2017-09-29,-0.05185904463748112,826
2017-12-29,0.04314346443550966,654
2018-03-29,-0.05708782777605996,898
2018-06-29,-0.09976929713942972,894
2018-09-28,-0.10377109991339525,873
2018-12-31,0.26661754877885163,890
2019-03-29,0.02207329471823259,923
2019-06-28,-0.010963189504204385,1111
2019-09-30,0.11255303857783673,865
2019-12-31,-0.10549020542356742,732
2020-03-31,0.24885788508201523,1140
2020-06-30,-0.0685968152801087,1033
2020-09-30,0.09313930013896397,983
2020-12-31,0.26233433571582987,801
2021-03-31,-0.05354268907858535,1130
2021-06-30,-0.17927368756828915,1013
2021-09-30,0.06910992632478595,1065
2021-12-31,-0.24189386838785562,758
2022-03-31,-0.10439732819602217,1159
2022-06-30,0.2184885802030471,1191
2022-09-30,0.05817261497443342,1196
2022-12-30,0.25511670612400833,872
2023-03-31,-0.1685453879167674,1135
2023-06-30,0.029475330508770853,1083
2023-09-29,0.013479037370316303,1108
2023-12-29,-0.22851954822906181,917
2024-03-28,-0.12783433965237748,1079
2024-06-28,-0.11213996686618173,1096
2024-09-30,0.09354297620867881,572
2024-10-01,0.07161515903681988,462
