Date,asset,side,notional,cost,realized_gain
2010-02-11,TQQQ,BUY,0.1,0.0,0.0
2010-10-07,TQQQ,BUY,0.9446468602793198,0.0009446468602793198,0.0
2011-06-10,TQQQ,SELL,1.2804285406965543,0.0012804285406965545,0.32662864123319935
2011-07-01,TQQQ,BUY,1.3575464322634034,0.0013575464322634035,0.0
2011-08-05,TQQQ,SELL,1.0912836936858685,0.0010912836936858685,-0.2425710853346122
2011-09-20,TQQQ,BUY,1.0934399850975658,0.0010934399850975659,0.0
2011-09-22,TQQQ,SELL,1.0269697852812805,0.0010269697852812805,-0.18437887958383511
2011-10-13,TQQQ,BUY,1.0712937013990382,0.0010712937013990383,0.0
2011-11-21,TQQQ,SELL,0.9482425653524246,0.0009482425653524247,-0.18518705059202129
2011-12-05,TQQQ,BUY,0.9906604860183834,0.0009906604860183835,0.0
2011-12-15,TQQQ,SELL,0.870632981385398,0.0008706329813853981,-0.19048023887446083
2011-12-28,TQQQ,BUY,0.8493403621146464,0.0008493403621146464,0.0
2012-06-06,TQQQ,SELL,1.1041910954007959,0.001104191095400796,0.2427413712546428
2012-06-07,TQQQ,BUY,1.090827411971591,0.0010908274119715911,0.0
2012-10-25,TQQQ,SELL,1.2258992705960707,0.0012258992705960709,0.12050090967129375
2012-11-30,TQQQ,BUY,1.2249855577965107,0.0012249855577965109,0.0
2012-12-10,TQQQ,SELL,1.1747546756249538,0.0011747546756249538,-0.055927479556672384
2012-12-12,TQQQ,BUY,1.1703156150931608,0.0011703156150931608,0.0
2012-12-18,TQQQ,SELL,1.1590829090430266,0.0011590829090430267,0.03102895085186529
2012-12-19,TQQQ,BUY,1.1414206255438142,0.0011414206255438142,0.0
2012-12-28,TQQQ,SELL,1.06137894522454,0.00106137894522454,-0.1090989038381513
2013-01-03,TQQQ,BUY,1.0165765815360286,0.0010165765815360285,0.0
2014-10-17,TQQQ,SELL,2.5233765109412927,0.0025233765109412927,1.542641347287255
2014-10-21,TQQQ,BUY,2.7306130826674853,0.0027306130826674855,0.0
2015-08-24,TQQQ,SELL,2.7893380876522245,0.0027893380876522246,0.10356921678508434
2015-10-20,TQQQ,BUY,2.826232627183079,0.002826232627183079,0.0
2016-01-08,TQQQ,SELL,2.5085740619787145,0.0025085740619787147,-0.32681664278440214
2016-03-18,TQQQ,BUY,2.5495674262697445,0.0025495674262697447,0.0
2016-05-02,TQQQ,SELL,2.4242734104641666,0.002424273410464167,-0.06820790932482122
2016-05-26,TQQQ,BUY,2.46004286678408,0.0024600428667840802,0.0
2016-06-20,TQQQ,SELL,2.2732575713560945,0.0022732575713560947,-0.1388946799889971
2016-06-24,TQQQ,BUY,2.0017573186954087,0.0020017573186954084,0.0
2016-06-27,TQQQ,SELL,1.9883006582610208,0.001988300658261021,-0.14792080196408391
2016-07-05,TQQQ,BUY,1.9841197378972133,0.0019841197378972133,0.0
2018-10-15,TQQQ,SELL,7.16924152951617,0.00716924152951617,5.121033733363975
2018-10-17,TQQQ,BUY,7.248917323763301,0.007248917323763302,0.0
2018-10-25,TQQQ,SELL,5.883233383284995,0.005883233383284995,-0.7847010279560108
2018-11-09,TQQQ,BUY,5.614903958697172,0.005614903958697172,0.0
2018-11-13,TQQQ,SELL,5.116452395856437,0.0051164523958564375,-0.5604372225152242
2019-02-20,TQQQ,BUY,4.421278807568613,0.004421278807568613,0.0
2020-03-11,TQQQ,SELL,6.140717928022215,0.006140717928022216,1.0979604732315171
2020-04-14,TQQQ,BUY,7.041914931174169,0.00704191493117417,0.0
2022-01-21,TQQQ,SELL,26.72555797856625,0.026725557978566253,19.049577201052102
2022-08-17,TQQQ,BUY,25.44901892000921,0.02544901892000921,0.0
2022-08-22,TQQQ,SELL,23.907188553247785,0.023907188553247787,-5.1298609518800395
2023-01-26,TQQQ,BUY,21.89288965226303,0.02189288965226303,0.0
2023-10-30,TQQQ,SELL,30.66704374206732,0.030667043742067322,7.190036041404499
2023-11-02,TQQQ,BUY,32.49112299025916,0.03249112299025916,0.0
2024-08-07,TQQQ,SELL,48.03149742324828,0.04803149742324829,13.13991448042811
2024-08-12,TQQQ,BUY,48.843320920366445,0.048843320920366445,0.0
2025-03-07,TQQQ,SELL,52.70951924338948,0.05270951924338948,2.93074273565117
2025-05-14,TQQQ,BUY,54.78743073780387,0.05478743073780387,0.0
