date,cost
2012-07-03,0.0015000000000000002
2012-08-01,0.0001460383971811293
2012-09-04,0.00023407071286114597
2012-10-02,0.0007416581072638317
2012-11-01,0.0005005705641791849
2012-12-03,0.0011840607457036184
2013-01-02,0.0003962774531002973
2013-02-01,0.0008274883545468052
2013-03-01,0.0006638921942176257
2013-04-02,0.0016170206527532194
2013-05-01,0.001639734959479635
2013-06-03,0.001233424061192259
2013-07-02,0.0007340074258054826
2013-08-01,0.0018528856320079675
2013-09-04,0.0003462240868390239
2013-10-01,0.00046255526193337806
2013-11-01,0.0017458150594876483
2013-12-03,0.0031257385301000037
2014-01-02,0.0031068367482313167
2014-02-03,0.0012460602444734875
2014-03-03,0.005599016295219339
2014-04-01,6.990136435852263e-10
2014-05-01,2.0437511030317256e-11
2014-06-03,0.0005759164676395949
2014-07-01,0.00029947006649219416
2014-08-01,0.0002066520784860165
2014-09-03,0.0011026184014754485
2014-10-01,0.004354933060692129
2014-11-03,0.0013943094216387808
2014-12-02,0.0014366541794424668
2015-01-02,0.0003482986304063266
2015-02-03,0.000341118960284314
2015-03-03,0.0002581937034218886
2015-04-01,0.0003397598416258443
2015-05-01,0.00030304114730218677
2015-06-02,0.0002625628332759963
2015-07-01,0.0002949053609986462
2015-08-03,0.00033054675305203547
2015-09-01,0.00032639337276602764
2015-10-01,0.0002821168181968874
2015-11-03,0.00028695825834453286
2015-12-01,0.0002533746407907672
2016-01-04,0.0002561858930875349
2016-02-02,0.0002504020612397145
2016-03-01,0.00021702613586915812
2016-04-01,0.00023266880308449477
2016-05-03,0.00020218267271396092
2016-06-01,0.00019017617489811077
2016-07-01,0.00028020260442838013
2016-08-02,0.0008096367381048582
2016-09-01,0.0006993043275410974
2016-10-03,0.0010955254037541683
2016-11-01,0.0010629539621954665
2016-12-01,0.0006531750266883007
2017-01-04,0.0007116674347254097
2017-02-01,0.006035805584017694
2017-03-01,0.0011820527437285749
2017-04-03,0.0033328839241111405
2017-05-02,0.0005088297070972782
2017-06-01,0.00032510255038197954
2017-07-03,0.00030136089099619455
2017-08-01,0.00022024501806355064
2017-09-01,0.00024401839900084927
2017-10-03,0.00034846191889761766
2017-11-01,0.00036250501719415013
2017-12-01,0.0006049033710985179
2018-01-03,0.0015499968044909041
2018-02-01,0.0023856482281052254
2018-03-01,0.0013732115456622689
2018-04-03,0.00040364150586382586
2018-05-01,0.00039676387782378974
2018-06-01,0.003705080482122555
2018-07-03,6.346196546098236e-07
2018-08-01,1.125873594871728e-06
2018-09-04,3.4214324822395355e-05
2018-10-02,0.0031757458315475814
2018-11-01,0.0002563501364276543
2018-12-03,0.00022431675692522965
2019-01-02,0.0001694527080030262
2019-02-01,0.0001595093869439471
2019-03-01,0.00023685799280623434
2019-04-02,0.0023763964845759026
2019-05-01,0.001856669431358306
2019-06-03,0.0003425157482263034
2019-07-02,0.0005429043083383688
2019-08-01,0.0005223985477814887
2019-09-04,0.0004469053892389265
2019-10-01,0.0001292879359521818
2019-11-01,0.00014079947611511274
2019-12-03,0.00012830961517290934
2020-01-02,0.0002859579869778384
2020-02-03,0.0002988819975397719
2020-03-03,0.0003507738184593922
2020-04-01,0.00017095981866018065
2020-05-01,0.0009299128039051376
2020-06-02,0.0009291887382761933
2020-07-01,0.0018706944808018744
2020-08-03,0.0008098079123587092
2020-09-01,2.699009533990334e-06
2020-10-01,2.623041793618843e-06
2020-11-03,5.547838300460293e-07
2020-12-01,9.712962184173905e-07
2021-01-04,1.975559762603477e-08
2021-02-02,0.007442890761607038
2021-03-02,0.003970825224745893
2021-04-01,3.6022721044063684e-16
2021-05-03,7.600294895121568e-08
2021-06-02,0.00403990532471006
2021-07-01,1.4411060446279442e-12
2021-08-03,3.175315975787103e-11
2021-09-01,2.803229471291818e-09
2021-10-01,0.001129042530732194
2021-11-02,0.00212059034660194
2021-12-01,0.002539764008373129
2022-01-03,0.0015521965074308257
2022-02-01,0.0010133142409108086
2022-03-01,0.0002322329460792841
2022-04-01,0.00012156839509164583
2022-05-03,0.00010906017774143077
2022-06-01,0.00011271222930260518
2022-07-01,0.00013756017074999813
2022-08-02,9.495450252076297e-05
2022-09-01,8.219352930876226e-05
2022-10-03,8.473813648211633e-05
2022-11-01,8.042140366387021e-05
2022-12-01,9.632844228774402e-05
2023-01-04,8.454889728099219e-05
2023-02-01,0.00013097694607786968
2023-03-01,0.00010710167384075131
2023-04-03,9.918456055844747e-05
2023-05-02,8.445753305477114e-05
2023-06-01,0.00017013863627897717
2023-07-03,0.0001871423383554466
2023-08-01,0.00023440925646004752
2023-09-01,0.00011816895170136787
2023-10-03,9.570897490171041e-05
2023-11-01,0.00011747997517866078
2023-12-01,0.0001066522750111899
2024-01-03,0.00027333498441467984
2024-02-01,0.0002158333757582283
2024-03-01,0.0004945278528305502
2024-04-02,0.00035251849849317476
2024-05-01,0.00026981342339816667
2024-06-03,0.0001645628059103542
2024-07-02,0.00014778735852945775
2024-08-01,0.00014736890019589104
2024-09-04,0.0001556618269355126
2024-10-01,0.00017844407615332013
2024-11-01,0.00030012110480094785
2024-12-03,0.0005197475778655948
