date,action,ticker,shares,price,fee,cash_delta,note,stop_price,checkpoint
1999-03-11,BUY,BIL,0.027130670445576863,36.85865419381963,0.0,-1.0,,,
1999-12-27,SELL,BIL,0.02713067044557686,37.4483565932107,0.0,1.0159990214588448,start_overheat_alloc,,
1999-12-27,BUY,SPLG,0.04503866104495921,22.55837535766523,0.0,-1.0159990214588448,,,
2000-04-14,SELL,SPLG,0.04503866104495921,23.857252196496383,0.0,1.0744986951421092,,,
2000-04-14,BUY,BIL,0.028518009693474837,37.67789921847048,0.0,-1.0744986951421092,,,
2003-03-20,SELL,BIL,0.02851800969347484,39.93471475889199,0.0,1.1388585826002346,,,
2003-03-20,BUY,TQQQ,0.041091507289633136,27.71518149901389,0.0,-1.1388585826002346,,,
2003-03-20,SELL_STOP,TQQQ,0.041091507289633136,26.329422424063193,0.0,1.0819156534702228,,26.329422424063193,
2003-03-21,BUY,TQQQ,0.038608326226737495,28.022858259029157,0.0,-1.0819156534702228,,,
2003-03-21,SELL_STOP,TQQQ,0.038608326226737495,26.621715346077696,0.0,1.0278198707967117,,26.621715346077696,
2003-03-24,SELL_STOP,TQQQ,0.03520991183554461,27.7316478898753,0.0,0.9764288772568761,,27.7316478898753,
2003-03-24,BUY,TQQQ,0.03520991183554461,29.191208305131894,0.0,-1.0278198707967117,,,
2003-03-25,BUY,BIL,0.024444807906652016,39.94422377895498,0.0,-0.9764288772568761,,,
2003-03-27,SELL,BIL,0.024444807906652016,39.95056438353708,0.0,0.9765838721178975,,,
2003-03-27,BUY,TQQQ,0.03606085992868404,27.081546975009584,0.0,-0.9765838721178975,,,
2003-03-27,SELL_STOP,TQQQ,0.03606085992868404,25.727469626259104,0.0,0.9277546785120027,,25.727469626259104,
2003-03-28,BUY,TQQQ,0.03501841756209686,26.493335310393448,0.0,-0.9277546785120027,,,
2003-03-31,SELL,TQQQ,0.03501841756209686,25.604062074051622,0.0,0.8966137369949875,,,
2003-03-31,BUY,BIL,0.022439518643311986,39.95690599460429,0.0,-0.8966137369949875,,,
2003-04-07,SELL,BIL,0.022439518643311986,39.97276442669319,0.0,0.8969695925775,,,
2003-04-07,BUY,TQQQ,0.03536739713166592,25.361481627790056,0.0,-0.8969695925775,,,
2003-04-09,SELL_STOP,TQQQ,0.03536739713166592,24.093407546400552,0.0,0.852121112948625,,24.093407546400552,
2003-04-10,BUY,BIL,0.021312467911284064,39.98228250691992,0.0,-0.852121112948625,,,
2003-04-16,SELL,BIL,0.021312467911284064,39.99497680614351,0.0,0.852391659793484,,,
2003-04-16,BUY,TQQQ,0.03289599374671128,25.91171637362985,0.0,-0.852391659793484,,,
2003-04-23,SELL_TAKE_PROFIT,TQQQ,0.003289599374671128,29.411966508150403,0.0,0.09675358663305973,,,+10%
2003-04-23,BUY,SPLG,0.008563319877387536,11.298607084449698,0.0,-0.09675358663305973,,,
2003-05-07,SELL_TAKE_PROFIT,TQQQ,0.0029606394372040153,33.17074234876519,0.0,0.09820660795908756,,,+25%
2003-05-07,BUY,SPLG,0.008381071878054916,11.717666831641516,0.0,-0.09820660795908756,,,
2003-06-05,SELL_TAKE_PROFIT,TQQQ,0.002664575493483614,39.21700760286555,0.0,0.10449667738635611,,,+50%
2003-06-05,BUY,SPLG,0.008749103580035052,11.943701023818198,0.0,-0.10449667738635611,,,
2003-09-03,SELL_TAKE_PROFIT,TQQQ,0.011990589720676263,51.95828141898555,0.0,0.6230104350864926,,,+100%
2003-09-03,BUY,SPLG,0.047418055220061484,13.138675388418529,0.0,-0.6230104350864926,,,
2004-03-22,BUY,BIL,0.03938493178913089,40.74465062365591,0.0,-1.6047252855846574,,,
2004-03-22,SELL,TQQQ,0.011990589720676263,52.21197772954034,0.0,0.6260524034600043,,,
2004-03-22,SELL,SPLG,0.07311155055553899,13.386022792406886,0.0,0.9786728821246532,,,
2004-03-29,SELL,BIL,0.03938493178913089,40.76082170244235,0.0,1.605362182419618,,,
2004-03-29,BUY,TQQQ,0.029653523831108662,54.13731573903128,0.0,-1.605362182419618,,,
2004-04-05,SELL_TAKE_PROFIT,TQQQ,0.0029653523831108665,63.12295175771808,0.0,0.18718179542374155,,,+10%
2004-04-05,BUY,SPLG,0.013642311354234098,13.720680503721743,0.0,-0.18718179542374155,,,
2004-04-30,SELL,TQQQ,0.026688171447997795,55.35648666777328,0.0,1.4773634069483375,,,
2004-04-30,SELL,SPLG,0.013642311354234098,13.87382555836519,0.0,0.18927104794154867,,,
2004-04-30,BUY,BIL,0.04081358058174642,40.83529136954175,0.0,-1.6666344548898862,,,
2004-05-28,SELL,BIL,0.04081358058174642,40.900158186286255,0.0,1.6692819019421694,,,
2004-05-28,BUY,TQQQ,0.0284684533289069,58.63619925734352,0.0,-1.6692819019421694,,,
2004-06-04,BUY,BIL,0.03934188637763097,40.91314390930543,0.0,-1.6096002590315588,,,
2004-06-04,SELL,TQQQ,0.0284684533289069,56.53978600225425,0.0,1.6096002590315588,,,
2004-06-10,SELL,BIL,0.03934188637763097,40.926133755267145,0.0,1.6101113040754473,,,
2004-06-10,BUY,TQQQ,0.027160417692118636,59.28153691622595,0.0,-1.6101113040754473,,,
2004-06-22,SELL,TQQQ,0.027160417692118636,57.08965462276011,0.0,1.5505788654529562,,,
2004-06-22,BUY,BIL,0.037866213198212983,40.94887591046819,0.0,-1.5505788654529562,,,
2004-07-06,SELL,BIL,0.037866213198212983,40.97813439472623,0.0,1.5516867734557278,,,
2004-07-06,BUY,TQQQ,0.02583960809365049,60.05070850269669,0.0,-1.5516867734557278,,,
2004-07-06,SELL_STOP,TQQQ,0.02583960809365049,57.048173077561856,0.0,1.4741024347829412,,57.048173077561856,
2004-07-07,BUY,BIL,0.03597004777260609,40.981386627614704,0.0,-1.4741024347829412,,,
2004-10-29,SELL,BIL,0.03597004777260609,41.24567650426732,0.0,1.4836089542719522,,,
2004-10-29,BUY,TQQQ,0.02538588526892055,58.44227761039738,0.0,-1.4836089542719522,,,
2004-11-12,BUY,SPLG,0.01168909016162386,14.084254092187996,0.0,-0.16463211594280527,,,
2004-11-12,SELL_TAKE_PROFIT,TQQQ,0.002538588526892055,64.85183171624949,0.0,0.16463211594280527,,,+10%
2004-12-02,SELL_TAKE_PROFIT,TQQQ,0.0022847296742028495,73.20484952389566,0.0,0.16725329200279876,,,+25%
2004-12-02,BUY,SPLG,0.011531403735842561,14.504157155033312,0.0,-0.16725329200279876,,,
2005-01-25,SELL,TQQQ,0.020562567067825645,57.080979071207366,0.0,1.1737314604488533,,,
2005-01-25,SELL,SPLG,0.023220493897466422,13.887390965979575,0.0,0.32247207717725906,,,
2005-01-25,BUY,BIL,0.03610594577537157,41.43925620823084,0.0,-1.4962035376261125,,,
2005-01-27,SELL,BIL,0.03610594577537157,41.44583412896467,0.0,1.4964410396754428,,,
2005-01-27,BUY,TQQQ,0.02495204552053111,59.97267993295929,0.0,-1.4964410396754428,,,
2005-03-16,SELL_STOP,TQQQ,0.02495204552053111,56.97404593631132,0.0,1.4216189876916705,,56.97404593631132,
