date,close,sma,upper,state
1999-03-11,3105.118334098905,,,NO_SIGNAL
1999-03-12,2879.94588609047,,,NO_SIGNAL
1999-03-15,3127.289253099485,,,NO_SIGNAL
1999-03-16,3207.642392407114,,,NO_SIGNAL
1999-03-17,3136.65907266669,,,NO_SIGNAL
1999-03-18,3319.624194262328,,,NO_SIGNAL
1999-03-19,3065.437205762629,,,NO_SIGNAL
1999-03-22,2951.2706965693765,,,NO_SIGNAL
1999-03-23,2640.483180879241,,,NO_SIGNAL
1999-03-24,2909.5660919346865,,,NO_SIGNAL
1999-03-25,3226.7116842713594,,,NO_SIGNAL
1999-03-26,3122.886607690065,,,NO_SIGNAL
1999-03-29,3463.051553400826,,,NO_SIGNAL
1999-03-30,3389.2288456432902,,,NO_SIGNAL
1999-03-31,3239.572953302485,,,NO_SIGNAL
1999-04-01,3443.6128174061896,,,NO_SIGNAL
1999-04-05,3816.6789725529648,,,NO_SIGNAL
1999-04-06,3838.334492356268,,,NO_SIGNAL
1999-04-07,3717.8736109542174,,,NO_SIGNAL
1999-04-08,3807.264091943164,,,NO_SIGNAL
1999-04-09,3875.9956983433217,,,NO_SIGNAL
1999-04-12,3798.994004316757,,,NO_SIGNAL
1999-04-13,3645.498127782548,,,NO_SIGNAL
1999-04-14,3270.7135699694227,,,NO_SIGNAL
1999-04-15,3403.728299073855,,,NO_SIGNAL
1999-04-16,3105.8204929857834,,,NO_SIGNAL
1999-04-19,2667.0289741338297,,,NO_SIGNAL
1999-04-20,2848.7526105782645,,,NO_SIGNAL
1999-04-21,3269.7264117706104,,,NO_SIGNAL
1999-04-22,3537.011076749652,,,NO_SIGNAL
1999-04-23,3675.0344355780944,,,NO_SIGNAL
1999-04-26,3929.639992138938,,,NO_SIGNAL
1999-04-27,3749.4211796144314,,,NO_SIGNAL
1999-04-28,3363.2857973769296,,,NO_SIGNAL
1999-04-29,3280.1581230068573,,,NO_SIGNAL
1999-04-30,3344.6476799214624,,,NO_SIGNAL
1999-05-03,3291.052841721647,,,NO_SIGNAL
1999-05-04,3135.4964965936174,,,NO_SIGNAL
1999-05-05,3419.662508195629,,,NO_SIGNAL
1999-05-06,3048.102001837613,,,NO_SIGNAL
1999-05-07,3179.096547124519,,,NO_SIGNAL
1999-05-10,3274.562380201868,,,NO_SIGNAL
1999-05-11,3428.073123285979,,,NO_SIGNAL
1999-05-12,3641.796529395855,,,NO_SIGNAL
