name,cost_bps,tax_mode,tax_rate,CAGR,MDD,Sharpe,Sortino,Calmar,WorstYear,WorstMonth,MaxTUW,MedianTUW,TradesPerYear,AnnualTurnover,FinalValue,NumDays
V0_Base_OFF10_CASH,0,Tax0,0.0,0.371556115845767,-0.4858894783499149,0.930709216184784,0.999517119686476,0.7646926562550292,-0.3476050242196702,-0.3338198003069883,568,3.0,3.2162162162162162,2.8945945945945946,149.9047368282491,3996
V0_Base_OFF10_CASH,0,Tax0,0.1,0.371556115845767,-0.4858894783499149,0.930709216184784,0.999517119686476,0.7646926562550292,-0.3476050242196702,-0.3338198003069883,568,3.0,3.2162162162162162,2.8945945945945946,149.9047368282491,3996
V0_Base_OFF10_CASH,0,Tax0,0.2,0.371556115845767,-0.4858894783499149,0.930709216184784,0.999517119686476,0.7646926562550292,-0.3476050242196702,-0.3338198003069883,568,3.0,3.2162162162162162,2.8945945945945946,149.9047368282491,3996
V0_Base_OFF10_CASH,0,Tax0,0.25,0.371556115845767,-0.4858894783499149,0.930709216184784,0.999517119686476,0.7646926562550292,-0.3476050242196702,-0.3338198003069883,568,3.0,3.2162162162162162,2.8945945945945946,149.9047368282491,3996
V0_Base_OFF10_CASH,0,TaxB,0.0,0.371556115845767,-0.4858894783499149,0.930709216184784,0.999517119686476,0.7646926562550292,-0.3476050242196702,-0.3338198003069883,568,3.0,3.2162162162162162,2.8945945945945946,149.9047368282491,3996
V0_Base_OFF10_CASH,0,TaxB,0.1,0.33797528695141876,-0.4888607988621295,0.8756168354584775,0.9091680718391361,0.691352809916624,-0.34760502421967054,-0.3338997468201328,594,3.0,3.2162162162162162,2.8945945945945946,101.18251193663009,3996
V0_Base_OFF10_CASH,0,TaxB,0.2,0.3052068784983093,-0.4918150951105882,0.8204869529287583,0.8205751610432577,0.6205724092906936,-0.34760502421967077,-0.33397968415722035,595,3.0,3.2162162162162162,2.8945945945945946,68.2879444285573,3996
V0_Base_OFF10_CASH,0,TaxB,0.25,0.28912124525023053,-0.49328588937269446,0.792909231834522,0.7771512470726104,0.5861129448034738,-0.34760502421967077,-0.3340196493850559,601,3.0,3.2162162162162162,2.8945945945945946,56.09756375026996,3996
V0_Base_OFF10_CASH,2,Tax0,0.0,0.37076043925158575,-0.4868304053791257,0.929412796568235,0.9974820730346157,0.7615802857729297,-0.3479628576348551,-0.33417831543317245,568,3.0,3.2162162162162162,2.8945945945945946,148.53166681747402,3996
V0_Base_OFF10_CASH,2,Tax0,0.1,0.37076043925158575,-0.4868304053791257,0.929412796568235,0.9974820730346157,0.7615802857729297,-0.3479628576348551,-0.33417831543317245,568,3.0,3.2162162162162162,2.8945945945945946,148.53166681747402,3996
