date,action,ticker,shares,price,fee,cash_delta
2024-01-02,BUY,SGOV,0.009971083765791207,100.29000091552734,0.0,-1.0
2024-02-01,BUY,SGOV,4.5521893726321295e-05,100.31999969482422,0.0,-0.004566756364732373
2024-03-01,BUY,SGOV,4.093708465804618e-05,100.31999969482422,0.0,-0.0041068083204021865
