date,action,ticker,shares,price,fee,cash_delta,note,stop_price
2012-01-03,BUY,BIL,0.010909883919341171,91.66000366210938,0.0,-1.0,,
2012-10-17,SELL,BIL,0.010909883919341171,91.62000274658205,0.0,0.9995635946549294,start_overheat_alloc,
2012-10-17,BUY,SPLG,0.058539592971757794,17.075000762939453,0.0,-0.9995635946549294,,
2012-10-24,SELL,SPLG,0.058539592971757794,16.4979305267334,0.0,0.9657821379113108,,
2012-10-24,BUY,BIL,0.01054117123945775,91.62000274658205,0.0,-0.9657821379113108,,
2012-12-20,SELL,BIL,0.01054117123945775,91.62000274658205,0.0,0.9657821379113107,,
2012-12-20,BUY,TQQQ,1.7182197785112925,0.5620830059051514,0.0,-0.9657821379113107,,
2012-12-21,SELL_STOP,TQQQ,1.7182197785112925,0.5332289934158325,0.0,0.9162046029627512,,0.5339788556098938
2012-12-24,BUY,BIL,0.009997867842262826,91.63999938964844,0.0,-0.9162046029627512,,
2013-01-04,BUY,TQQQ,1.5753583619945262,0.5814579725265503,0.0,-0.9160046791680845,,
2013-01-04,SELL,BIL,0.009997867842262826,91.62000274658205,0.0,0.9160046791680845,,
2014-06-25,BUY,SPLG,1.708446348157271e-05,23.052499771118164,0.0,-0.00039383959049863154,,
2014-09-19,BUY,SPLG,7.659288781733815e-08,23.72998046875,0.0,-1.8175477319505942e-06,,
2014-10-16,SELL,TQQQ,1.5753583619945262,1.3691669702529907,0.0,2.1569286355547597,,
2014-10-16,SELL,SPLG,1.716105636939005e-05,21.79503059387207,0.0,0.0003740257485940193,,
2014-10-16,BUY,BIL,0.02357707826561042,91.5,0.0,-2.1573026613033535,,
2015-06-30,SELL,BIL,0.02357707826561042,91.41999816894533,0.0,2.155416451871185,,
2015-06-30,BUY,TQQQ,0.9636734172249464,2.2366669178009038,0.0,-2.155416451871185,,
2015-08-21,BUY,BIL,0.022070567247070082,91.41999816894533,0.0,-2.0176912173147317,,
2015-08-21,SELL,TQQQ,0.9636734172249464,2.09375,0.0,2.0176912173147317,,
2015-11-16,BUY,TQQQ,0.8939586989835061,2.256042003631592,0.0,-2.0168083744186402,,
2015-11-16,SELL,BIL,0.022070567247070082,91.37999725341795,0.0,2.0168083744186402,,
2015-12-21,SELL,TQQQ,0.8939586989835061,2.321458101272583,0.0,2.075287663958359,,
2015-12-21,BUY,BIL,0.02271549529437304,91.36000061035156,0.0,-2.075287663958359,,
2015-12-23,SELL,BIL,0.02271549529437304,91.37999725341795,0.0,2.0757418976098365,,
2015-12-23,BUY,TQQQ,0.8598170549453155,2.4141669273376465,0.0,-2.0757418976098365,,
2016-01-04,SELL_STOP,TQQQ,0.8598170549453155,2.221250057220459,0.0,1.9098686824964084,,2.293458580970764
2016-01-05,BUY,BIL,0.020904867225668675,91.36000061035156,0.0,-1.9098686824964084,,
2016-04-05,SELL,BIL,0.020904867225668675,91.4000015258789,0.0,1.9107048963244129,,
2016-04-05,BUY,TQQQ,0.898186506673523,2.1272919178009038,0.0,-1.9107048963244129,,
2016-04-06,BUY,BIL,0.020886915999659278,91.37999725341795,0.0,-1.9086463266812363,,
2016-04-06,SELL,TQQQ,0.898186506673523,2.125,0.0,1.9086463266812363,,
2016-04-15,SELL,BIL,0.020886915999659278,91.4000015258789,0.0,1.9090641542397626,,
2016-04-15,BUY,TQQQ,0.8586497189681842,2.2233328819274902,0.0,-1.9090641542397626,,
2016-04-22,SELL_STOP,TQQQ,0.8586497189681842,2.1121662378311155,0.0,1.813610946527774,,2.1121662378311155
2016-04-25,BUY,BIL,0.0198469139969244,91.37999725341795,0.0,-1.813610946527774,,
2016-05-27,SELL,BIL,0.0198469139969244,91.4000015258789,0.0,1.8140079696028777,,
2016-05-27,BUY,TQQQ,0.8494038357901936,2.135624885559082,0.0,-1.8140079696028777,,
2016-06-14,SELL,TQQQ,0.8494038357901936,2.024583101272583,0.0,1.719688652096938,,
2016-06-14,BUY,BIL,0.018814973997675778,91.4000015258789,0.0,-1.719688652096938,,
2016-12-01,BUY,SPLG,3.0480993071260254e-05,25.92530059814453,0.0,-0.0007902289079023827,,
2016-12-16,BUY,SPLG,1.726921241682279e-07,26.690000534057617,0.0,-4.6091528862775475e-06,,
2016-12-28,BUY,SPLG,1.2743914289193941e-05,26.575000762939453,0.0,-0.000338669531958164,,
2017-02-01,BUY,SPLG,1.8261850376975346e-05,26.787500381469727,0.0,-0.0004891893239395702,,
2017-03-01,BUY,SPLG,1.6092636654975546e-05,28.059999465942383,0.0,-0.00045155937594421866,,
2017-03-17,BUY,SPLG,3.2623058211343886e-07,27.837499618530277,0.0,-9.081443705135764e-06,,
2017-04-03,BUY,SPLG,1.8928204914049303e-05,27.832500457763672,0.0,-0.0005268192719349218,,
2017-05-01,BUY,SPLG,2.287739381843575e-05,27.962499618530277,0.0,-0.0006397091159209765,,
2017-06-01,BUY,SPLG,3.572777479998213e-05,28.4375,0.0,-0.001016008595874492,,
2017-06-16,BUY,SPLG,7.36419950243159e-07,28.48500061035156,0.0,-2.097692273215145e-05,,
2017-07-03,BUY,SPLG,3.2887562137336834e-05,28.604999542236328,0.0,-0.0009407486998837889,,
2017-08-01,BUY,SPLG,4.138712370749381e-05,29.09499931335449,0.0,-0.0012041583358512497,,
2017-09-01,BUY,SPLG,4.2680471323353e-05,29.09499931335449,0.0,-0.0012417882838466014,,
2017-09-15,BUY,SPLG,1.3125948911311886e-06,29.207500457763672,0.0,-3.833761588357245e-05,,
2017-10-02,BUY,SPLG,4.067264288440312e-05,29.60610008239746,0.0,-0.0012041583358512497,,
2017-11-01,BUY,SPLG,4.2705842195879054e-05,30.84000015258789,0.0,-0.0013170481798373045,,
2017-12-01,BUY,SPLG,3.99545780854213e-05,31.07999992370605,0.0,-0.0012417882838466014,,
2017-12-15,BUY,SPLG,2.0051301003367007e-06,31.09000015258789,0.0,-6.23394951254266e-05,,
2017-12-19,BUY,SPLG,4.8932059442132414e-05,31.530000686645508,0.0,-0.0015428278678094138,,
2018-02-01,BUY,SPLG,4.916705473419671e-05,32.90999984741211,0.0,-0.0016180877638001167,,
