date,state,equity,cash,TQQQ_shares,SPLG_shares,SGOV_shares,BIL_shares
2012-01-03,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-04,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-05,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-06,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-09,NO_SIGNAL,1.0,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-10,NO_SIGNAL,1.0,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-11,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-12,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-13,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-17,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-18,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-19,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-20,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-23,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-24,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-25,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-26,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-27,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-30,NO_SIGNAL,1.0,0.0,0.0,0.0,0.0,0.010909883919341171
2012-01-31,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-02-01,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-02-02,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-02-03,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-02-06,NO_SIGNAL,1.0,0.0,0.0,0.0,0.0,0.010909883919341171
2012-02-07,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
2012-02-08,NO_SIGNAL,1.0,0.0,0.0,0.0,0.0,0.010909883919341171
2012-02-09,NO_SIGNAL,0.9997817557095603,0.0,0.0,0.0,0.0,0.010909883919341171
