date,action,ticker,shares,price
1999-12-23,BUY,SPLG,0.04498428424578957,22.229985799842925
2003-03-18,SELL,SPLG,0.04498428424578957,11.06157106653214
2003-03-18,BUY,TQQQ,0.018134525132939953,27.439199726164187
2003-03-20,STOP,TQQQ,0.018134525132939953,26.067239739855978
2003-03-20,BUY,BIL,0.011837245290540924,39.93471475889199
2003-03-21,SELL,BIL,0.011837245290540924,39.93788418069825
2003-03-21,BUY,TQQQ,0.01687031804758226,28.022858259029157
2003-03-21,STOP,TQQQ,0.01687031804758226,26.621715346077696
2003-03-21,BUY,BIL,0.011245383026013876,39.93788418069825
2003-03-25,SELL,BIL,0.011245383026013876,39.94422377895498
2003-03-25,BUY,TQQQ,0.01758281534878631,25.54699501534413
2003-03-31,STOP,TQQQ,0.01758281534878631,24.269645264576923
2003-03-31,BUY,BIL,0.010679723082793918,39.95690599460429
2003-04-03,SELL,BIL,0.010679723082793918,39.966420298714176
2003-04-03,BUY,TQQQ,0.016620581718871874,25.680828061281144
2003-04-09,STOP,TQQQ,0.016620581718871874,24.39678665821708
2003-04-09,BUY,BIL,0.010142516698747838,39.979109561716605
2003-04-15,SELL,BIL,0.010142516698747838,39.991802853536086
2003-04-15,BUY,TQQQ,0.016098731592709817,25.1956202834453
2008-10-09,STOP,TQQQ,0.016098731592709817,23.93583926927304
2008-10-09,BUY,BIL,0.008634490283164167,44.62760848704794
2009-06-08,SELL,BIL,0.008634490283164167,45.21583739682153
2009-06-08,BUY,TQQQ,0.01592284168936612,24.519223155294007
2009-06-08,STOP,TQQQ,0.01592284168936612,23.293261997529303
2009-06-08,BUY,BIL,0.008202765769005959,45.21583739682153
2009-06-09,SELL,BIL,0.008202765769005959,45.21942595534509
2009-06-09,BUY,TQQQ,0.015260561175063848,24.30607597358243
2009-06-15,STOP,TQQQ,0.015260561175063848,23.090772174903307
2009-06-15,BUY,BIL,0.007790154121327182,45.2337830377277
2009-06-17,SELL,BIL,0.007790154121327182,45.24096328820851
2009-06-17,BUY,TQQQ,0.015950754060371154,22.0951357709197
2009-06-23,STOP,TQQQ,0.015950754060371154,20.990378982373713
2009-06-23,BUY,BIL,0.007398297469779526,45.25532720865365
2009-06-24,SELL,BIL,0.007398297469779526,45.258918901289256
2009-06-24,BUY,TQQQ,0.01589362384777709,21.067501559073087
2009-07-08,STOP,TQQQ,0.01589362384777709,20.01412648111943
2009-07-08,BUY,BIL,0.007023364314599824,45.29125696519863
2009-07-09,SELL,BIL,0.007023364314599824,45.29485150940221
2009-07-09,BUY,TQQQ,0.015576278551714787,20.423507622185625
