start,end,days,state,qqq_return,tqqq_return,theo_3x_daily,drag,drag_annualized,qqq_annualized_vol
2010-02-11,2010-10-06,165,OFF,0.13553714173597475,0.32606978933936737,0.3434787201087195,-0.017408930769352127,-0.02658818517501052,0.2096375484325098
2010-10-07,2011-06-09,170,ON,0.12686661940605082,0.36283035353917126,0.3748059536036261,-0.011975600064454861,-0.017752065977897795,0.14018835551094525
2011-06-10,2011-06-30,15,OFF,0.04644846291309035,0.1373421979369296,0.1386413785523939,-0.0012991806154643015,-0.021826234339800268,0.1898638758907384
2011-07-01,2011-08-04,24,ON,-0.06458293752935562,-0.19363139450156075,-0.19523106218963593,0.0015996676880751792,0.016796510724789382,0.23627604789040513
2011-08-05,2011-09-19,31,OFF,0.05359478607881174,0.10243217844977348,0.10357053108168035,-0.0011383526319068693,-0.009253705265823583,0.3964478185754388
2011-09-20,2011-09-21,2,ON,-0.01738750124994559,-0.05085611804684609,-0.052162503749836775,0.0013063857029906867,0.16460459857682652,0.1951742174682002
2011-09-22,2011-10-12,15,OFF,0.056364270417014195,0.16144359031032862,0.16250184759311104,-0.0010582572827824155,-0.01777872235074458,0.2846551139829707
2011-10-13,2011-11-18,27,ON,-0.03011216852819143,-0.10895720042149137,-0.10747418397999853,-0.001483016441492846,-0.013841486787266563,0.2633582217411094
2011-11-21,2011-12-02,9,OFF,0.041958151610429706,0.11938694474352585,0.12090352375563151,-0.0015165790121056677,-0.042464212338958696,0.30985142674011035
2011-12-05,2011-12-14,8,ON,-0.04105500162573339,-0.11968293170403299,-0.12097469048259046,0.0012917587785574725,0.04069040152456038,0.17222962211370413
2011-12-15,2011-12-27,8,OFF,0.0313340903904733,0.08784875915320112,0.09267664732030512,-0.004827888167104,-0.152078477263776,0.21156747008463786
2011-12-28,2012-06-05,110,ON,0.1013444551475724,0.2923862780205797,0.29921767652386877,-0.006831398503289066,-0.01565011293480768,0.14607261106336003
2012-06-07,2012-10-24,98,ON,0.05180717440311455,0.12483782996291581,0.13124476845877453,-0.006406938495858716,-0.0164749847036367,0.15646361808919118
2012-10-25,2012-11-29,23,OFF,0.01151012271487839,0.026146311620052654,0.027543567641942435,-0.0013972560218897812,-0.015309065978966299,0.16500191841096126
2012-11-30,2012-12-07,6,ON,-0.013221646070157078,-0.04091672769764498,-0.039745584319174077,-0.0011711433784709069,-0.04918802189577809,0.09430249301717177
2012-12-10,2012-12-11,2,OFF,0.01305281834759886,0.03856759917868957,0.03915845504279658,-0.0005908558641070094,-0.07444783887748319,0.14651752256553513
2012-12-12,2012-12-17,4,ON,-0.004252768141155938,-0.013284080519951669,-0.013671813454777526,0.00038773293482585736,0.024427174894029013,0.16524512310068962
2012-12-19,2012-12-27,6,ON,-0.022658167547639274,-0.06658045109418853,-0.06700246398415255,0.00042201288996401853,0.01772454137848878,0.0734068782226095
2012-12-28,2013-01-02,3,OFF,0.05362148104693576,0.1646081886135431,0.1649007584209603,-0.00029256980741720895,-0.02457586382304555,0.2568555121641231
2013-01-03,2014-10-16,451,ON,0.4051976751728983,1.4747735770525976,1.540230915370981,-0.0654573383183834,-0.03657483205373086,0.1272235760589315
2014-10-17,2014-10-20,2,OFF,0.014945873311749125,0.04309038216751149,0.044837619935247375,-0.0017472377677358875,-0.22015195873472182,0.1677670118360809
2014-10-21,2015-08-21,211,ON,0.06591171922823658,0.14004654734233402,0.1461621242908857,-0.006115576948551693,-0.007303911805853206,0.14698588966005502
2015-08-24,2015-10-19,40,OFF,0.10709492047203684,0.3103786931313668,0.3204623978603365,-0.010083704728969689,-0.06352733979250903,0.24297843679424164
2015-10-20,2016-01-07,55,ON,-0.027636924356553627,-0.10362011311705566,-0.10159739692935288,-0.0020227161877027777,-0.009267717805474546,0.18838340501498063
2016-01-08,2016-03-17,48,OFF,0.03374669622649984,0.06138527295925855,0.0687275590893337,-0.0073422861300751485,-0.03854700218289453,0.24135975363294118
2016-03-18,2016-04-29,30,ON,-0.01536738537588156,-0.050737763293927096,-0.050771389295784286,3.362600185718989e-05,0.0002824584156003951,0.12775389397948492
2016-05-02,2016-05-25,18,OFF,0.023612926414221747,0.06764169158324163,0.06812498363013386,-0.00048329204689223637,-0.006766088656491309,0.14220406221530427
2016-05-26,2016-06-17,16,ON,-0.0254324526199321,-0.07660724622098292,-0.07560863995346745,-0.0009986062675154672,-0.01572804871336861,0.08141743429994862
2016-06-20,2016-06-23,4,OFF,0.01502380173620721,0.045737875673495854,0.04508726241960459,0.0006506132538912635,0.0409886349951496,0.11703347814804851
2016-06-27,2016-07-01,5,OFF,0.05732727176681118,0.17440561047654968,0.17881493452176644,-0.004409324045216767,-0.22222993187892506,0.14218557977446625
2016-07-05,2018-10-12,575,ON,0.6557138430199982,2.6302787727283605,2.9498192459032686,-0.3195404731749081,-0.14004208563491624,0.14090170146740183
2018-10-15,2018-10-16,2,OFF,0.029092471287691657,0.08613873047279452,0.08727741386307497,-0.0011386833902804483,-0.14347410717533648,0.3265621802793009
2018-10-17,2018-10-24,6,ON,-0.0674038236505008,-0.1960558769479519,-0.19614470468332634,8.882773537444155e-05,0.003730764885726545,0.3088742523572585
2018-10-25,2018-11-08,11,OFF,0.019875759677164817,0.047274912866485996,0.050148088877493446,-0.00287317601100745,-0.06582185043398886,0.29152539276175415
2018-11-09,2018-11-12,2,ON,-0.03025889733831444,-0.08784046302628801,-0.09077669201494332,0.0029362289886553095,0.369964852570569,0.3396552802246157
