date,turnover
2020-02-03,1.0
2020-05-01,0.5624385515538882
2020-08-03,0.8536850290076009
2020-11-03,0.049694356485474156
2021-02-02,0.011319728768268162
2021-05-03,0.4910043762807855
2021-08-03,0.9183939691983359
2021-11-02,0.20216522356244238
2022-02-01,0.4007817165284745
2022-05-03,0.20251546257969308
2022-08-02,0.12572160444328795
2022-11-01,0.17558979102973754
2023-02-01,0.1603405149355676
2023-05-02,0.22107368390502116
2023-08-01,0.395429723362622
2023-11-01,0.38555388402817126
2024-02-01,0.2963333532188897
2024-05-01,0.24633797872376598
2024-08-01,0.22408513478198702
2024-11-01,0.2706276198885945
