date,cost
2012-07-03,0.0015000000000000002
2012-08-01,0.00014276679483481353
2012-09-04,0.0002320626360366621
2012-10-02,0.0007292577219283773
2012-11-01,0.0005080738041543511
2012-12-03,0.0011786606550290395
2013-01-02,0.0004052351345198959
2013-02-01,0.0008312686905001082
2013-03-01,0.0006570019263715477
2013-04-02,0.0015998934894447708
2013-05-01,0.0015482473500669097
2013-06-03,0.0012172401955055877
2013-07-02,0.0007005228874015464
2013-08-01,0.0017970307215064672
2013-09-04,0.0003320757938078434
2013-10-01,0.0004529895383945993
2013-11-01,0.00166263167628368
2013-12-03,0.0028738527820806902
2014-01-02,0.00315422318628248
2014-02-03,0.0011658187494082257
2014-03-03,0.005477739793948226
2014-04-01,5.827499142021093e-10
2014-05-01,1.6181972649287797e-11
2014-06-03,0.00045520554569952233
2014-07-01,0.00023724297910348725
2014-08-01,0.00016115651249298205
2014-09-03,0.0008391208539172459
2014-10-01,0.003284088450229013
2014-11-03,0.0010725558695107295
2014-12-02,0.0010884173618771198
2015-01-02,0.000261516099741399
2015-02-03,0.0002598400162683206
2015-03-03,0.00019328921265718643
2015-04-01,0.0002554430696390648
2015-05-01,0.00022987402343985965
2015-06-02,0.00019805374597862605
2015-07-01,0.00022247976944988796
2015-08-03,0.00024700474259681677
2015-09-01,0.00023970898278024267
2015-10-01,0.0002114268839780392
2015-11-03,0.0002164473279550589
2015-12-01,0.00019180473066268683
2016-01-04,0.00018973728977152008
2016-02-02,0.000184758831644429
2016-03-01,0.0001657247351000512
2016-04-01,0.00017527139997518842
2016-05-03,0.00015014439508996842
2016-06-01,0.00014357926782989792
2016-07-01,0.0002116504604918192
2016-08-02,0.0006031940882892459
2016-09-01,0.0005277386161713618
2016-10-03,0.0008227178864326941
2016-11-01,0.0007953830366315086
2016-12-01,0.0004894667757197468
2017-01-04,0.0005436538826224782
2017-02-01,0.004508217952354613
2017-03-01,0.0008321406952241093
2017-04-03,0.00259180243959721
2017-05-02,0.00039549998574301483
2017-06-01,0.0002567498699717317
2017-07-03,0.0002360741036479
2017-08-01,0.00017188736556229313
2017-09-01,0.00019117080031000918
2017-10-03,0.00027247985942426765
2017-11-01,0.000282742777983208
2017-12-01,0.0004705478273216294
2018-01-03,0.0012193731043476984
2018-02-01,0.0018609904788789034
2018-03-01,0.0010543132650775652
2018-04-03,0.00031432789378946864
2018-05-01,0.00030704237247149266
2018-06-01,0.0028922933736915835
2018-07-03,4.781081016063344e-07
2018-08-01,8.358241633832642e-07
2018-09-04,2.4855525725485367e-05
2018-10-02,0.0023741845649104354
2018-11-01,0.00019659310828017306
2018-12-03,0.0001699690084926585
2019-01-02,0.0001282046615461763
2019-02-01,0.00011994252945567914
2019-03-01,0.00017896214092265198
2019-04-02,0.0017800142231487218
2019-05-01,0.001310223054744924
2019-06-03,0.00024372313962299011
2019-07-02,0.00038789254928836927
2019-08-01,0.0003633746097630476
2019-09-04,0.0003223302340693272
2019-10-01,9.116551455194612e-05
2019-11-01,0.00010156720664814331
2019-12-03,9.124237848625946e-05
2020-01-02,0.00020498304653406333
2020-02-03,0.00021108169947508336
2020-03-03,0.00024222107574693461
2020-04-01,0.00011346266971856185
2020-05-01,0.0006301339596570333
2020-06-02,0.0006704084745458846
2020-07-01,0.001324377398863651
2020-08-03,0.0006527642332937839
2020-09-01,1.902142003924976e-06
2020-10-01,1.8794294776974116e-06
2020-11-03,4.167587130167907e-07
2020-12-01,6.362411113703403e-07
2021-01-04,1.4813602566742324e-08
2021-02-02,0.005428530260094584
2021-03-02,0.007106878611435321
2021-04-01,5.60502918003583e-16
2021-05-03,1.2829747005377985e-07
2021-06-02,0.007963330590072995
2021-07-01,2.3918462462725093e-12
2021-08-03,5.350734665087039e-11
2021-09-01,4.757534548369238e-09
2021-10-01,0.001979698405868779
2021-11-02,0.003686001661898247
2021-12-01,0.004129600256469514
2022-01-03,0.0027994464191890113
2022-02-01,0.0018852233990030555
2022-03-01,0.0004203097337210667
2022-04-01,0.00022424975523902303
2022-05-03,0.0002021550731726673
2022-06-01,0.00020596911587263928
2022-07-01,0.0002527270680480246
2022-08-02,0.0001726673706579858
2022-09-01,0.00014853177607860828
2022-10-03,0.00015897297731735935
2022-11-01,0.0001477975836617293
2022-12-01,0.0001760339795160719
2023-01-04,0.0001561639510711571
2023-02-01,0.00024168159726264333
2023-03-01,0.00019639270498170204
2023-04-03,0.00018188281927206362
2023-05-02,0.00015264770542177604
2023-06-01,0.0003148641859883245
2023-07-03,0.0003426126849793544
2023-08-01,0.00042798951680481887
2023-09-01,0.00021788274978072823
2023-10-03,0.00017276751323668242
2023-11-01,0.000216810953207498
2023-12-01,0.00019919211084090639
2024-01-03,0.0004945620480234352
2024-02-01,0.00040398732128597354
2024-03-01,0.0009205200406792722
2024-04-02,0.0006429709403128381
2024-05-01,0.0004963105153828496
2024-06-03,0.00030122237524599776
2024-07-02,0.00027187980655627374
2024-08-01,0.00026456466532091583
2024-09-04,0.000285559488968681
2024-10-01,0.0003248337638638288
2024-11-01,0.0005533528793313907
2024-12-03,0.0009444299836180877
