date,return
2012-07-03,0.0004265245701823312
2012-07-05,-0.0065215173362233834
2012-07-06,0.0014923471657149723
2012-07-09,-0.013418428542469881
2012-07-10,0.0015408847884386466
2012-07-11,-0.002093106907689505
2012-07-12,0.010806500247565307
2012-07-13,-0.00398176710886914
2012-07-16,0.0034059866774767515
2012-07-17,0.0008338854126920336
2012-07-18,-0.003588572837682686
2012-07-19,-0.010573508893339398
2012-07-20,-0.011804035527305027
2012-07-23,-0.009458801965878305
2012-07-24,0.0025477363172082407
2012-07-25,0.01388471723499287
2012-07-26,0.016181420657297295
2012-07-27,-0.007253382019580387
2012-07-30,-0.005898661098455592
2012-07-31,-0.010940858563631202
2012-08-01,-0.0033419488364025947
2012-08-02,0.022388705171067995
2012-08-03,0.0036975013448309656
2012-08-06,0.005852234749328727
2012-08-07,-0.001216313804721657
2012-08-08,0.0031843089848810316
2012-08-09,-0.002147889750975413
2012-08-10,-0.002114331655073434
2012-08-13,0.0007063005896008056
2012-08-14,0.004170293007578366
2012-08-15,0.009438583819304739
2012-08-16,0.00606616431796178
2012-08-17,-0.001595901671514411
2012-08-20,-0.002252629249995956
2012-08-21,-0.0014776225403513397
2012-08-22,-0.00473731307056729
2012-08-23,0.0032286118906837027
2012-08-24,-0.00026842465075693425
2012-08-27,0.00437985161388458
2012-08-28,0.0035729781110407904
2012-08-29,-0.0103197831524242
2012-08-30,0.0050055552846986935
2012-08-31,0.0036478743317732076
2012-09-04,0.001361176700686268
2012-09-05,0.015849513534262467
2012-09-06,0.005219076923209335
2012-09-07,-0.0020770189030236037
2012-09-10,0.0021933572021796037
2012-09-11,0.0034293373945043417
2012-09-12,0.010885128996862527
2012-09-13,0.012219049390762694
2012-09-14,-0.00430686394504266
2012-09-17,0.0005570933141753418
2012-09-18,0.001614135705073494
2012-09-19,-0.003555120913731548
2012-09-20,0.003759507787122469
2012-09-21,-0.0010718289017941462
2012-09-24,-0.010232288862728884
2012-09-25,-0.008462847739384952
2012-09-26,0.01353791366057136
2012-09-27,-0.0014559983673631946
2012-09-28,0.01686632136035894
2012-10-01,-0.004368745408802741
2012-10-02,0.012396984881981021
2012-10-03,-0.00015009574330685557
2012-10-04,0.002546867658234985
2012-10-05,-0.007007451887814192
2012-10-08,-0.01914877905984149
2012-10-09,-0.016216366670144866
2012-10-10,0.027633709790084327
2012-10-11,0.011901236648575833
2012-10-12,0.003982315805084783
2012-10-15,0.017993652601939483
2012-10-16,0.013704405836343025
2012-10-17,0.005961354207262231
2012-10-18,-0.011815296633170673
2012-10-19,-0.019094749567125858
2012-10-22,-0.012428642245693544
2012-10-23,0.020372056325399093
2012-10-24,-0.008368675606535285
2012-10-25,-0.01523310281130032
2012-10-26,0.00046788850505392605
2012-10-31,0.010304294838257158
2012-11-01,-0.023803732055033767
2012-11-02,0.02832963823298133
2012-11-05,0.03279212358322937
2012-11-06,-0.014398044764935851
2012-11-07,-0.0023149814268439476
2012-11-08,-0.010256610674569636
2012-11-09,-0.009700117459189944
2012-11-12,-0.00587321016257386
2012-11-13,-0.036250300442976814
2012-11-14,-0.01863799230254742
2012-11-15,0.022898636008452395
2012-11-16,0.03580299828649408
2012-11-19,0.0022475610487514095
2012-11-20,0.007518359015908502
2012-11-21,0.005316620902316223
2012-11-23,-0.013964049802113779
2012-11-26,-0.01585729133514784
2012-11-27,0.0010352059957316338
2012-11-28,0.006596285889224396
2012-11-29,0.007723063608480369
2012-11-30,-0.009732836388353434
2012-12-03,-0.0019351440634787654
2012-12-04,-0.007127276699941072
2012-12-05,-0.003217865808683621
2012-12-06,-0.004365469639552356
2012-12-07,0.004746172769138567
2012-12-10,0.00693121860671116
2012-12-11,0.0014091737290674391
2012-12-12,-0.005880455516583987
2012-12-13,-0.0037385499058220644
2012-12-14,0.00866196121563496
2012-12-17,0.01686317190585454
2012-12-18,-0.0014598008283506518
2012-12-19,-0.00014673283315812716
2012-12-20,-0.007651702950939565
2012-12-21,-0.0002260213125503514
2012-12-24,-0.007364434774829405
2012-12-26,0.0004308525045295914
2012-12-27,-0.008342917590504154
2012-12-28,0.022887338648989716
2012-12-31,0.028060387197061235
2013-01-02,0.0030858911148298135
2013-01-03,0.007969187379268827
2013-01-04,0.0006274518803820049
2013-01-07,0.002214342259346835
2013-01-08,0.009670692299165836
2013-01-09,0.0042682886129118145
2013-01-10,-0.0018144623608273803
2013-01-11,-0.002853210986488818
2013-01-14,0.004835783913663322
2013-01-15,-0.0074670291755547236
2013-01-16,0.007661121849575556
2013-01-17,0.0013703783577070743
2013-01-18,0.008766399404266635
2013-01-22,0.005083115653470201
2013-01-23,-0.0014761257696449665
2013-01-24,0.011054939366341726
2013-01-25,-0.0004813392315141588
2013-01-28,0.0012611191075841467
2013-01-29,-0.004550472988195851
2013-01-30,-0.005631990490594446
2013-01-31,0.0077621470582396315
2013-02-01,-0.003546974416690605
2013-02-04,0.03142234699944142
2013-02-05,0.00961299830269055
2013-02-06,0.006623378557121363
2013-02-07,-0.016116504380084253
2013-02-08,0.014892506732509907
2013-02-11,0.003906814581425665
2013-02-12,-0.012540680961656416
2013-02-13,-0.002756347470394286
2013-02-14,-0.010865288077178445
2013-02-15,-0.03996556511157106
2013-02-19,-0.02514676428612304
2013-02-20,-0.021910615872139903
2013-02-21,0.0006622419737526567
2013-02-22,-0.030388328583267364
2013-02-25,0.01332134223850281
2013-02-26,-0.0030291581210844087
2013-02-27,-0.0029397940759463372
2013-02-28,0.0040675725543377166
2013-03-01,0.005072192121189215
2013-03-04,0.012212535639289661
