date,cost
2012-07-03,0.0015
2012-10-02,0.001716858695551952
2013-01-02,0.002682413378417761
2013-04-02,0.0031620776861515125
2013-07-02,0.002384777293593441
2013-10-01,0.0015330593766692362
2014-01-02,0.00294730693951649
2014-04-01,0.0030673011563975092
2014-07-01,7.261471550939108e-05
2014-10-01,0.0013414865956728132
2015-01-02,0.0010419100091469441
2015-04-01,0.0009305206163955697
2015-07-01,0.0007911328754366323
2015-10-01,0.0007839498674155827
2016-01-04,0.0007153299522710844
2016-04-01,0.0007838945046355494
2016-07-01,0.0008427707078742067
2016-10-03,0.0010876052501630749
2017-01-04,0.0009571611347616942
2017-04-03,0.001076682578468427
2017-07-03,0.0008990446151446359
2017-10-03,0.0008847530785046197
2018-01-03,0.001448505602050566
2018-04-03,0.0015919010128317406
2018-07-03,0.00172204836462332
2018-10-02,0.0025192378325952494
2019-01-02,0.0011522672182941972
2019-04-02,0.0021723615826382925
2019-07-02,0.0009850014790204486
2019-10-01,0.0012796382902697191
2020-01-02,0.0011382785411369323
2020-04-01,0.0008007351975101823
2020-07-01,0.0014423123163608508
2020-10-01,0.00037273216106479884
2021-01-04,2.4226221277331407e-08
2021-04-01,0.003279849367479654
2021-07-01,0.0034467671110413574
2021-10-01,0.0011830312520137768
2022-01-03,0.00249089033936371
2022-04-01,0.0014516827234643409
2022-07-01,0.0007381987879979133
2022-10-03,0.0006165939832104678
2023-01-04,0.0007304822152845855
2023-04-03,0.0010138472778217964
2023-07-03,0.0011481563120628372
2023-10-03,0.0009135427223002621
2024-01-03,0.0010352806944100305
2024-04-02,0.0006770465371892106
2024-07-02,0.0008561152699827473
2024-10-01,0.000740961933710794
