date,ticker,delta_weight
2012-07-03,AAME,0.0025740131533299655
2012-07-03,AAPL,0.0037950802939558984
2012-07-03,ABCB,0.0027578011065538233
2012-07-03,AEO,0.003325298061754506
2012-07-03,AGNC,0.002646117833763801
2012-07-03,AGX,0.0026446701115790698
2012-07-03,ALG,0.0025337801945435074
2012-07-03,ALGN,0.002890533492886368
2012-07-03,ALGT,0.0027224129624292626
2012-07-03,ALLT,0.003056082803863297
2012-07-03,AMT,0.0025562379702503066
2012-07-03,AMTX,0.01516359099300018
2012-07-03,ANIK,0.004493379495407874
2012-07-03,ASGN,0.0033787250892362082
2012-07-03,ASML,0.002715957321662638
2012-07-03,ASPS,0.004873648704607238
2012-07-03,ASR,0.0026308951998513757
2012-07-03,ASRV,0.0028289704548698333
2012-07-03,ASUR,0.005742181545828424
2012-07-03,ATLC,0.003171618586339524
2012-07-03,AVD,0.00524888152895199
2012-07-03,AWRE,0.005719730900455858
2012-07-03,AX,0.00262522649590626
2012-07-03,AZZ,0.0026106651897442605
2012-07-03,BAP,0.0029511926302829036
2012-07-03,BBDC,0.0026004361387143775
2012-07-03,BBGI,0.0026990767276596755
2012-07-03,BBH,0.0025007852600715404
2012-07-03,BBSI,0.00302118796275112
2012-07-03,BFH,0.002797846714528002
2012-07-03,BGS,0.0025629414802303342
2012-07-03,BIB,0.0025990900155020325
2012-07-03,BIIB,0.002570897725844264
2012-07-03,BIP,0.0027314072840059814
2012-07-03,BLDR,0.006040872093373657
2012-07-03,BLIN,0.003265362913606649
2012-07-03,BMRN,0.002853394961624306
2012-07-03,BSET,0.0027618771794149736
2012-07-03,BUD,0.00269772189466383
2012-07-03,BZQ,0.0025353301284777824
2012-07-03,CASY,0.0025867848029116508
2012-07-03,CBAN,0.003502984965135818
2012-07-03,CCI,0.0028067895738452704
2012-07-03,CF,0.0026496760392905453
2012-07-03,CFFI,0.004731944590905831
2012-07-03,CHD,0.0026821047306817974
2012-07-03,CHDN,0.0024923737597791268
2012-07-03,CIA,0.002782962459915787
2012-07-03,CINF,0.0026284356947299655
2012-07-03,CIVB,0.0032750361549986097
2012-07-03,CLDX,0.002862352112890494
2012-07-03,CPSS,0.0033906304214118823
2012-07-03,CRI,0.003683288429171239
2012-07-03,CRIS,0.003011014645003735
2012-07-03,CRUS,0.004354699973982207
2012-07-03,CSGP,0.002621293256529444
2012-07-03,CSV,0.002968614692529445
2012-07-03,CSWC,0.0025802966886377195
2012-07-03,CXW,0.0026253361367043404
2012-07-03,DDD,0.0037659980120784923
2012-07-03,DG,0.0033163782040971273
2012-07-03,DHI,0.0033491624727044677
2012-07-03,DLTR,0.00335022603423736
2012-07-03,DPZ,0.0025023548749816315
2012-07-03,DVAX,0.0032053020072438884
2012-07-03,DWSN,0.003044968841542427
2012-07-03,DXPE,0.0034232268019313596
2012-07-03,EAT,0.002552899260411653
2012-07-03,EC,0.002632232878199275
2012-07-03,EDV,0.0034515541404241956
2012-07-03,EFX,0.0026140489630536693
2012-07-03,EGY,0.0027939746618908644
2012-07-03,EQIX,0.0037913959903499586
2012-07-03,EXP,0.0025997127160980273
2012-07-03,EXPE,0.0035281105558181377
2012-07-03,EXR,0.002910486582868216
2012-07-03,FBIZ,0.0031805854336669757
2012-07-03,FICO,0.002710595230679292
2012-07-03,FLXS,0.002677076407391852
2012-07-03,FMX,0.002608330825417449
2012-07-03,FONR,0.005396410227077121
2012-07-03,FRME,0.0027060029109026796
2012-07-03,FUN,0.0032660552296489517
2012-07-03,GAP,0.0031560402236122265
2012-07-03,GASS,0.0025892645052279094
2012-07-03,GRFS,0.002718163197695572
2012-07-03,GSBC,0.0029964166739229864
2012-07-03,HAIN,0.003468691109672325
2012-07-03,HBNC,0.0030007194991707054
2012-07-03,HCI,0.011405128067107884
2012-07-03,HD,0.002996353828763385
2012-07-03,HDSN,0.008216072912216694
2012-07-03,HOFT,0.002653798529149885
2012-07-03,HSTM,0.0047262127142201895
2012-07-03,IDN,0.0026376733586847985
2012-07-03,INOD,0.008802443034612745
2012-07-03,ISRG,0.0029508898492268906
2012-07-03,ITB,0.002530146309380319
2012-07-03,ITIC,0.002807432628016935
2012-07-03,JAZZ,0.0025690146287805993
2012-07-03,JBSS,0.0054927629220920815
2012-07-03,JHX,0.002649988941889973
2012-07-03,KINS,0.004094283606451285
2012-07-03,KNDI,0.003673259979210939
2012-07-03,KOF,0.002794997091159254
2012-07-03,KTCC,0.004058911234928345
2012-07-03,LEE,0.00411287354737353
2012-07-03,LEN,0.0037097703176822198
2012-07-03,LEN-B,0.0034235874072756525
2012-07-03,LGND,0.0027496412450168186
2012-07-03,LIVE,0.02933634314899701
2012-07-03,LOPE,0.002917202212811
2012-07-03,LPSN,0.002564712292527952
2012-07-03,LPX,0.002535843757013348
2012-07-03,LQDT,0.005821877272109788
2012-07-03,LTC,0.0026546857479817186
2012-07-03,MA,0.0027843378989585604
2012-07-03,MAIN,0.002647666212382225
2012-07-03,MANH,0.0025122809095915744
2012-07-03,MBWM,0.006151588318480768
2012-07-03,MCS,0.0027957565987174753
2012-07-03,MG,0.003374069043380972
2012-07-03,MHO,0.00273634074071772
2012-07-03,MLAB,0.002954036668466579
2012-07-03,MNST,0.0038689500582006495
2012-07-03,MO,0.0026543299777443594
2012-07-03,MOFG,0.0030283753406720997
2012-07-03,MOV,0.002985935332046979
2012-07-03,MTH,0.002999122598516994
2012-07-03,MYE,0.0036785506616201936
2012-07-03,NAII,0.003264507285282361
2012-07-03,NATH,0.0031753458400195556
2012-07-03,OMER,0.007546483484167287
