Final,CAGR,MDD,Sharpe,Sortino,Calmar,Trades,TotalTax,Lookback,Lag,Threshold,ReducedWeight,Config
47.3896254891671,0.27548019690034375,-0.35142441536481195,1.000586492484944,1.145874846593254,0.7838960096564979,417,4.775944496664679,20,1,0.0,0.3,LB20_L1_T0_RW30
52.18885576273915,0.2832631270655872,-0.3892970409015146,0.9375034160622986,1.0660692501142182,0.7276272288369329,442,10.979480640465296,20,1,0.0,0.5,LB20_L1_T0_RW50
51.45755259695029,0.2821216217334557,-0.3790459924736962,0.9536237527776759,1.0543471847231098,0.744293904526727,445,5.786302783979253,20,1,-0.05,0.3,LB20_L1_T-5_RW30
75.9295823569269,0.31396706059864443,-0.38584701756489015,0.9750503087849887,1.12074338696475,0.8137086625163372,461,6.461259776763476,20,1,-0.05,0.5,LB20_L1_T-5_RW50
31.356685993014594,0.24269102866173542,-0.5345830805894987,0.8045225402983637,0.8080267868047876,0.45398187386348576,445,6.008832407975576,20,1,-0.1,0.3,LB20_L1_T-10_RW30
47.55589157618005,0.27576194201544624,-0.4805763605375747,0.8510035649006915,0.8969594531890864,0.5738150368174119,460,7.708214711597997,20,1,-0.1,0.5,LB20_L1_T-10_RW50
2.881258437367897,0.06901220146364295,-0.5458211180192403,0.37706574523120695,0.1915404084531879,0.1264373971349534,460,5.576245954513435,20,3,0.0,0.3,LB20_L3_T0_RW30
33.738596621619905,0.2484419985629558,-0.4392413569964013,0.8293152140756399,0.8702206168714323,0.565616134741591,472,4.3051217465113485,20,3,0.0,0.5,LB20_L3_T0_RW50
22.57306968364059,0.21719895483473994,-0.46084651342864447,0.7550587786793861,0.7291012198916494,0.4713043247713973,473,4.444397647843856,20,3,-0.05,0.3,LB20_L3_T-5_RW30
36.9479115046746,0.2556165181574188,-0.47003452292478654,0.8159552338619566,0.8370929764385183,0.5438249866559733,489,7.540520994286617,20,3,-0.05,0.5,LB20_L3_T-5_RW50
19.180352359244655,0.20476090344404985,-0.434547110322269,0.7031072769560106,0.6470932289529276,0.4712053045116213,453,3.424495586385244,20,3,-0.1,0.3,LB20_L3_T-10_RW30
29.85983579630087,0.23886370808722535,-0.44999251631337633,0.7603189565531004,0.7402521557071045,0.5308170679018134,472,7.2535707207866595,20,3,-0.1,0.5,LB20_L3_T-10_RW50
1.5272270065670843,0.02706404057098477,-0.6452055373410677,0.26631180989504866,0.07250439998788796,0.04194638608111978,482,3.9914318324934066,20,5,0.0,0.3,LB20_L5_T0_RW30
11.779963101960586,0.16828719654891922,-0.5346505635997862,0.6263074989441157,0.5512340204760836,0.3147610944536307,493,3.9637154511528996,20,5,0.0,0.5,LB20_L5_T0_RW50
0.17752654562824316,-0.10328126334026955,-0.9132333976920348,0.05406237737149218,-0.20002992587405996,-0.1130940497810162,496,3.625209170076252,20,5,-0.05,0.3,LB20_L5_T-5_RW30
6.259008476102629,0.12261303097162357,-0.5242238517981522,0.5011741851854573,0.35624208036392474,0.23389441466855393,504,4.792314223022584,20,5,-0.05,0.5,LB20_L5_T-5_RW50
4.270690842648715,0.09587531291832563,-0.6670202533414241,0.43795060289362203,0.28746636595878056,0.1437367342866131,474,1.9333247945603484,20,5,-0.1,0.3,LB20_L5_T-10_RW30
11.317537930009077,0.16534046277518932,-0.5458294001231023,0.5983548582074205,0.49617294191526845,0.30291600770845184,483,2.93575222322188,20,5,-0.1,0.5,LB20_L5_T-10_RW50
26.391671989480876,0.229255208339892,-0.4192533944932417,0.8356572729700045,0.8747864888285941,0.5468177750045325,339,1.848752233315571,40,1,0.0,0.3,LB40_L1_T0_RW30
48.527916599294365,0.2773908399034244,-0.395937848598665,0.9036597485501444,1.0001595944304194,0.7005918754299149,364,1.7992967190858873,40,1,0.0,0.5,LB40_L1_T0_RW50
22.039450958389736,0.21536396326719665,-0.5124288412264728,0.7500752084668961,0.7394240168671481,0.4202807218105323,320,3.087678071101723,40,1,-0.05,0.3,LB40_L1_T-5_RW30
42.44302726454146,0.26664366291339214,-0.4687060420182476,0.8409920478717517,0.8930539838206668,0.5688931633251939,346,3.1721764421378738,40,1,-0.05,0.5,LB40_L1_T-5_RW50
1.6873655363434121,0.03354289666576227,-0.6232769829083735,0.30277632815310007,0.07999936128770152,0.05381699883933196,278,4.820482228926414,40,1,-0.1,0.3,LB40_L1_T-10_RW30
12.72710860106417,0.17399876997254515,-0.5016429570302168,0.6083919923124921,0.5034897563929451,0.34685779503939934,293,6.450499609599665,40,1,-0.1,0.5,LB40_L1_T-10_RW50
0.2485493869452075,-0.08404766791622975,-0.8734192000621755,0.061306022828311185,-0.1781303607518166,-0.09622832645566608,356,3.4284975662629673,40,3,0.0,0.3,LB40_L3_T0_RW30
7.7769444799268035,0.1380914064117471,-0.4527697376839861,0.5473522398989503,0.4395677221733869,0.3049925710983118,373,4.2702932172717825,40,3,0.0,0.5,LB40_L3_T0_RW50
12.218606203586045,0.17098387858425546,-0.5247224953304506,0.6271801131053242,0.5470276686141303,0.32585581922988877,329,1.3079705421924408,40,3,-0.05,0.3,LB40_L3_T-5_RW30
27.419153114193996,0.23221954296140246,-0.4997653511083906,0.751342798436038,0.7314886712304209,0.46465714849254924,340,0.6021662722719533,40,3,-0.05,0.5,LB40_L3_T-5_RW50
9.420039617140421,0.15193175014371807,-0.572243594709599,0.5657129897473966,0.4568141402149359,0.2655018798783062,321,0.8723512457049226,40,3,-0.1,0.3,LB40_L3_T-10_RW30
