date,equity
2012-07-03,1.006836144829473
2012-07-05,1.0113351746998926
2012-07-06,1.01218486137186
2012-07-09,1.0187407539584588
2012-07-10,0.9960567320480074
2012-07-11,0.994267320974234
2012-07-12,0.9911902688274962
2012-07-13,1.002747878036831
2012-07-16,1.0007175331685876
2012-07-17,0.9977589734609034
2012-07-18,0.9964397168095858
2012-07-19,0.9910785178850808
2012-07-20,0.9719880762616365
2012-07-23,0.9561814779498085
2012-07-24,0.9489664249828978
2012-07-25,0.9506876125825507
2012-07-26,0.9544842870128034
2012-07-27,0.9772498850149808
2012-07-30,0.9728680427293415
2012-07-31,0.9718695110371656
2012-08-01,0.9536794531396876
2012-08-02,0.9551885572061753
2012-08-03,0.973566925141481
2012-08-06,0.9813825821596039
2012-08-07,0.9902952439084065
2012-08-08,0.9894880983806673
2012-08-09,0.9853251722744513
2012-08-10,0.9754052206904889
2012-08-13,0.9674549358211725
2012-08-14,0.974797493599857
2012-08-15,0.9869570265739382
2012-08-16,0.9991168773000713
2012-08-17,1.0078479114570118
2012-08-20,1.0065495236740492
2012-08-21,0.9980617757168674
2012-08-22,1.0084313242726952
2012-08-23,1.001867220991185
2012-08-24,1.0067797275878394
2012-08-27,1.0067359190160072
2012-08-28,1.014830934381453
2012-08-29,1.0264903216937273
2012-08-30,1.0124077870726278
2012-08-31,1.0197804213192572
2012-09-04,1.0318148196549812
2012-09-05,1.0282577871799572
2012-09-06,1.0430054333093168
2012-09-07,1.0416669141507997
2012-09-10,1.0336183065323699
2012-09-11,1.0336643850747649
2012-09-12,1.0431878591185302
2012-09-13,1.0615896463876278
2012-09-14,1.0725304341418271
2012-09-17,1.0746649708011995
2012-09-18,1.0643010846571443
2012-09-19,1.072492018822365
2012-09-20,1.0777346738064153
2012-09-21,1.0830261231372782
2012-09-24,1.0729520413334372
2012-09-25,1.0580866959899213
2012-09-26,1.0359978951544588
2012-09-27,1.0576119852602408
2012-09-28,1.0511045896266282
2012-10-01,1.061831355978165
2012-10-02,1.064980114692208
2012-10-03,1.0890560085503547
2012-10-04,1.099133899709126
2012-10-05,1.092675335046643
2012-10-08,1.0796421316577804
2012-10-09,1.0552560869194134
2012-10-10,1.0540703842827024
2012-10-11,1.05919876986326
2012-10-12,1.0581358260973028
2012-10-15,1.0696557036721634
2012-10-16,1.0882799798755216
2012-10-17,1.1033634114415793
2012-10-18,1.0950878117504537
2012-10-19,1.0760807351349935
2012-10-22,1.0741731744595941
2012-10-23,1.0547509425517811
2012-10-24,1.0670781288717528
2012-10-25,1.062234427468139
2012-10-26,1.0496934258854045
2012-10-31,1.054439189534885
2012-11-01,1.065804828682601
2012-11-02,1.0463614053529549
2012-11-05,1.057883760332144
2012-11-06,1.062337607829837
2012-11-07,1.048015677569036
2012-11-08,1.0478517496193682
2012-11-09,1.0461084312362072
2012-11-12,1.0387702300377064
2012-11-13,1.0441356299537232
2012-11-14,1.0102293516560499
2012-11-15,0.9895334653621172
2012-11-16,1.0068361778287525
2012-11-19,1.033533783342827
2012-11-20,1.0419930634443375
2012-11-21,1.0551327980384115
2012-11-23,1.0647771283429706
2012-11-26,1.0732208678632522
2012-11-27,1.0695272331571768
2012-11-28,1.0752455285589964
2012-11-29,1.0896807985891244
2012-11-30,1.0802155223275618
2012-12-03,1.0783548565470205
2012-12-04,1.0802875226306943
2012-12-05,1.0594103213784924
2012-12-06,1.0568022575834761
2012-12-07,1.0573505438445978
2012-12-10,1.0617343289994008
2012-12-11,1.0759554821029766
2012-12-12,1.083576379863162
2012-12-13,1.078946043033892
2012-12-14,1.067950080999484
2012-12-17,1.0974548041892946
2012-12-18,1.1063811346895676
2012-12-19,1.1029053563065598
2012-12-20,1.1053389489103416
2012-12-21,1.092409112049445
2012-12-24,1.0957503509738038
2012-12-26,1.0811659558929734
2012-12-27,1.082427924550938
2012-12-28,1.0738505299873957
2012-12-31,1.1000799275132025
2013-01-02,1.138390997194531
2013-01-03,1.142003728814992
2013-01-04,1.1506581292359155
2013-01-07,1.1559764712732805
2013-01-08,1.1631687819551118
2013-01-09,1.1787930968772007
2013-01-10,1.1796407705678142
2013-01-11,1.1735121226451297
2013-01-14,1.172022742311668
2013-01-15,1.18307008578538
2013-01-16,1.1764894925095293
