date,ticker,delta_weight
2020-02-03,AAPL,0.147142839041525
2020-02-03,AMZN,0.07170626188150644
2020-02-03,GOOG,0.0805260754321354
2020-02-03,JNJ,0.07039612188594534
2020-02-03,JPM,0.08312887148222059
2020-02-03,META,0.07482447817169167
2020-02-03,MSFT,0.11648899972672264
2020-02-03,NVDA,0.11616735519456602
2020-02-03,TSLA,0.18544753183080318
2020-02-03,XOM,0.05417146535288368
2020-03-03,AAPL,-0.025751836611958165
2020-03-03,AMZN,0.005651383572906732
2020-03-03,GOOG,0.0005678509582110608
2020-03-03,JNJ,-0.0029491169431297426
2020-03-03,JPM,-0.006038561682591273
2020-03-03,META,0.005963330857384333
2020-03-03,MSFT,-0.010332515523777092
2020-03-03,NVDA,0.0259490672688477
2020-03-03,TSLA,0.012495069319708368
2020-03-03,XOM,-0.005554671215601964
2020-04-01,AAPL,-0.006508565672549385
2020-04-01,AMZN,0.011101659998371621
2020-04-01,GOOG,-0.0013590892689525902
2020-04-01,JNJ,0.010188301084106233
2020-04-01,JPM,-0.003148120971609006
2020-04-01,META,-0.00028311105388856284
2020-04-01,MSFT,0.008581348730908309
2020-04-01,NVDA,-0.013003284873497861
2020-04-01,TSLA,-0.005456885332721123
2020-04-01,XOM,-0.00011225264016758579
2020-05-01,AAPL,-0.037163718213424846
2020-05-01,AMZN,-0.024770803706246083
2020-05-01,GOOG,-0.024884933386428068
2020-05-01,JNJ,-0.02506146795203431
2020-05-01,JPM,-0.03260971589349622
2020-05-01,META,-0.02968403253842377
2020-05-01,MSFT,-0.04393460453132028
2020-05-01,NVDA,-0.03997352252047122
2020-05-01,TSLA,0.274181091789957
2020-05-01,XOM,-0.016098293048112
2020-06-02,AAPL,-0.030979990060793848
2020-06-02,AMZN,-0.034235810762733646
2020-06-02,GOOG,-0.027693643505526836
2020-06-02,JNJ,-0.02870002914642054
2020-06-02,JPM,-0.022132757042103535
2020-06-02,META,-0.02437243857362014
2020-06-02,MSFT,-0.03746670527935785
2020-06-02,NVDA,0.013765342632672137
2020-06-02,TSLA,0.20952588613140166
2020-06-02,XOM,-0.01770985439351752
2020-07-01,AAPL,-0.007620698863703222
2020-07-01,AMZN,-0.0034473463238960562
2020-07-01,GOOG,-0.004753070863615358
2020-07-01,JNJ,-0.006767284656074762
2020-07-01,JPM,-0.004759816642410321
2020-07-01,META,-0.006801011434892666
2020-07-01,MSFT,-0.0051451855550475635
2020-07-01,NVDA,-0.04127682823610557
2020-07-01,TSLA,0.08402505457551623
2020-07-01,XOM,-0.003453811999770755
2020-08-03,AAPL,-0.021079111359205184
2020-08-03,AMZN,-0.012956826587369305
2020-08-03,GOOG,-0.014299891797289898
2020-08-03,JNJ,-0.00953656705764221
2020-08-03,JPM,-0.008767246118448785
2020-08-03,META,-0.01080584274684262
2020-08-03,MSFT,-0.017210526960213975
2020-08-03,NVDA,-0.03175521443596148
2020-08-03,TSLA,0.1332915737968825
2020-08-03,XOM,-0.006880346733909006
2020-09-01,AAPL,-0.017844929327658035
2020-09-01,AMZN,-0.012937085463959205
2020-09-01,GOOG,-0.0080401113801456
2020-09-01,JNJ,-0.007515465206844953
2020-09-01,JPM,-0.0056316171642168305
2020-09-01,META,-0.008763911655061917
2020-09-01,MSFT,-0.010897285010850686
2020-09-01,NVDA,-0.029481306221904695
2020-09-01,TSLA,0.10544419158951002
2020-09-01,XOM,-0.004332480158868063
2020-10-01,AAPL,0.0008930509731701394
2020-10-01,AMZN,0.0007143768849314054
2020-10-01,GOOG,0.0003862840374878688
2020-10-01,JNJ,0.00038452631526472833
2020-10-01,JPM,0.0002728668229063025
2020-10-01,META,0.0005084562435926645
2020-10-01,MSFT,0.0005382857545918738
2020-10-01,NVDA,0.002644212215884332
2020-10-01,TSLA,-0.006538483588763744
2020-10-01,XOM,0.0001964243409342778
2020-11-03,AAPL,0.010265701131320635
2020-11-03,AMZN,0.009877620867616208
2020-11-03,GOOG,0.0065655484269998
2020-11-03,JNJ,0.005192218538697602
2020-11-03,JPM,0.004057324906993377
2020-11-03,META,0.007062639790148153
2020-11-03,MSFT,0.007463345903267219
2020-11-03,NVDA,0.020556232232451975
2020-11-03,TSLA,-0.0740585297580092
2020-11-03,XOM,0.0030178979605143498
2020-12-01,AAPL,-0.010252412978768752
2020-12-01,AMZN,-0.009644187892946077
2020-12-01,GOOG,-0.00631203309233436
2020-12-01,JNJ,-0.005093699119190829
2020-12-01,JPM,-0.003910290702896559
2020-12-01,META,-0.0069282658913424775
2020-12-01,MSFT,-0.007323891366433699
2020-12-01,NVDA,-0.021421660533460195
2020-12-01,TSLA,0.0737967514558624
2020-12-01,XOM,-0.002910309878489479
2021-01-04,AAPL,0.00023324828007316228
2021-01-04,AMZN,0.00019586805845261935
2021-01-04,GOOG,9.549512059926595e-05
2021-01-04,JNJ,0.00011483790033929055
2021-01-04,JPM,9.291447615996821e-05
2021-01-04,META,9.479066374314625e-05
2021-01-04,MSFT,0.00013467911771221385
2021-01-04,NVDA,-0.00018161473832760486
2021-01-04,TSLA,-0.0008540579017427552
2021-01-04,XOM,7.38390229905626e-05
2021-02-02,AAPL,0.010202866620104181
2021-02-02,AMZN,0.008937158473496375
2021-02-02,GOOG,0.006630857576735186
2021-02-02,JNJ,0.00571467085558058
2021-02-02,JPM,0.005108779610008646
2021-02-02,META,0.006610418710327003
2021-02-02,MSFT,0.007291715945949053
2021-02-02,NVDA,0.016677628765923092
2021-02-02,TSLA,-0.07127039994807105
2021-02-02,XOM,0.004096303389947021
2021-03-02,AAPL,0.018558270940501102
2021-03-02,AMZN,0.015810080184890295
2021-03-02,GOOG,0.015607553260299065
2021-03-02,JNJ,0.010520250057511043
2021-03-02,JPM,0.013082953260472957
2021-03-02,META,0.011772114255700575
2021-03-02,MSFT,0.013252127496778883
2021-03-02,NVDA,0.019797824945372917
2021-03-02,TSLA,-0.12970658212164887
2021-03-02,XOM,0.011305407720121913
2021-04-01,AAPL,-0.019194129142923497
2021-04-01,AMZN,-0.01831643451595254
2021-04-01,GOOG,-0.013723487092141285
2021-04-01,JNJ,-0.011192031344636432
2021-04-01,JPM,-0.009664965485858965
2021-04-01,META,-0.010006647227122916
