date,turnover
2020-02-03,1.0
2020-03-03,0.10125340395411643
2020-04-01,0.05974261962677228
2020-05-01,0.5483621835799137
2020-06-02,0.44658245752814774
2020-07-01,0.1680501091510325
2020-08-03,0.266583147593765
2020-09-01,0.21088838317902
2020-10-01,0.013076967177527335
2020-11-03,0.14811705951601853
2020-12-01,0.14759350291172482
2021-01-04,0.002071345280140589
2021-02-02,0.14254079989614218
2021-03-02,0.25941316424329763
2021-04-01,0.2620339178559202
2021-05-03,0.49362512989340807
2021-06-02,0.33909502088239385
2021-07-01,0.31816115172837445
2021-08-03,0.2611377965875677
2021-09-01,0.221390445272684
2021-10-01,0.13012083931085888
2021-11-02,0.3123747821739974
2021-12-01,0.3295522118073906
2022-01-03,0.12176162162713285
2022-02-01,0.14654688871479601
2022-03-01,0.11412119403366262
2022-04-01,0.10992621126322626
2022-05-03,0.2079438115330825
2022-06-01,0.05571153478750239
2022-07-01,0.09727878748355062
2022-08-02,0.12823331874291954
2022-09-01,0.0701744697715217
2022-10-03,0.08143873066959914
2022-11-01,0.1473352941244425
2022-12-01,0.0802224048572077
2023-01-04,0.039678891528371674
2023-02-01,0.16626789508628512
2023-03-01,0.10983026111858303
2023-04-03,0.07481960462717718
2023-05-02,0.09888330295561715
2023-06-01,0.18188817605090624
2023-07-03,0.22339970650381347
2023-08-01,0.14575862047027993
2023-09-01,0.3281339784678963
2023-10-03,0.12260871808601773
2023-11-01,0.4943105375963555
2023-12-01,0.22320187313340067
2024-01-03,0.22889905788457807
2024-02-01,0.12425905450088094
2024-03-01,0.0943706758390126
2024-04-02,0.12262267975875094
2024-05-01,0.09770252334679566
2024-06-03,0.12112652326042164
2024-07-02,0.043694941087437544
2024-08-01,0.17183961830764766
2024-09-04,0.11273630509252719
2024-10-01,0.12617846082887837
2024-11-01,0.20376420018566127
2024-12-03,0.12913018171119545
