date,cost
2020-02-03,0.0015
2020-03-03,0.00015560898093898507
2020-04-01,7.787992701657973e-05
2020-05-01,0.0008768834225592229
2020-06-02,0.0007921613359000598
2020-07-01,0.0003442156655334322
2020-08-03,0.0006934879813566314
2020-09-01,0.0009160218064064594
2020-10-01,4.8892733514951306e-05
2020-11-03,0.0005171158546785393
2020-12-01,0.0007149843278725701
2021-01-04,1.2455247686140353e-05
2021-02-02,0.001018885444912139
2021-03-02,0.001610870616515555
2021-04-01,0.0015405915273471046
2021-05-03,0.0030885188104383047
2021-06-02,0.001958017174642867
2021-07-01,0.0019809598703790644
2021-08-03,0.0016633276269942758
2021-09-01,0.0014851324446203257
2021-10-01,0.0008423400560961628
2021-11-02,0.002306044933344481
2021-12-01,0.002452640925859986
2022-01-03,0.0008913295953238091
2022-02-01,0.0010145474796780759
2022-03-01,0.0007583266882046119
2022-04-01,0.0007876873038195224
2022-05-03,0.0012942992223256683
2022-06-01,0.000341549958552367
2022-07-01,0.0005377322724815138
2022-08-02,0.000794631942443696
2022-09-01,0.0004162264542425082
2022-10-03,0.0004382042247283526
2022-11-01,0.0008284996993264468
2022-12-01,0.0004696905428518857
2023-01-04,0.0002112012819149495
2023-02-01,0.0009933957181972285
2023-03-01,0.0006664494434223825
2023-04-03,0.0004876410666981578
2023-05-02,0.0006679062919337834
2023-06-01,0.001329027802522268
2023-07-03,0.0017742899549383325
2023-08-01,0.0012327219651366995
2023-09-01,0.002767935110445932
2023-10-03,0.000982712028228832
2023-11-01,0.003716927987581397
2023-12-01,0.0018561114380423358
2024-01-03,0.0019685030233789575
2024-02-01,0.00117691087857508
2024-03-01,0.0010497027625685264
2024-04-02,0.001453387034336613
2024-05-01,0.0011105017784758084
2024-06-03,0.001559271753628526
2024-07-02,0.0006163928652818409
2024-08-01,0.002362491948430576
2024-09-04,0.0015106342365967323
2024-10-01,0.0018120086416003752
2024-11-01,0.0030058704308923647
2024-12-03,0.0020393137958667246
