date,AAPL,AMZN,GOOG,JNJ,JPM,META,MSFT,NVDA,TSLA,XOM
2020-02-03,0.147142839041525,0.07170626188150644,0.0805260754321354,0.07039612188594534,0.08312887148222059,0.07482447817169167,0.11648899972672264,0.11616735519456602,0.18544753183080318,0.05417146535288368
2020-03-03,0.12139100242956684,0.07735764545441318,0.08109392639034646,0.0674470049428156,0.07709030979962932,0.08078780902907601,0.10615648420294554,0.14211642246341372,0.19794260115051154,0.04861679413728172
2020-04-01,0.11488243675701745,0.0884593054527848,0.07973483712139387,0.07763530602692183,0.07394218882802031,0.08050469797518744,0.11473783293385385,0.12911313758991586,0.19248571581779042,0.04850454149711413
2020-05-01,0.07771871854359261,0.06368850174653871,0.0548499037349658,0.05257383807488752,0.04133247293452409,0.050820665436763675,0.07080322840253357,0.08913961506944464,0.46666680760774737,0.03240624844900213
2020-06-02,0.04673872848279876,0.02945269098380507,0.027156260229438966,0.023873808928466977,0.019199715892420557,0.026448226863143534,0.03333652312317572,0.10290495770211677,0.676192693739149,0.014696394055484613
2020-07-01,0.03911802961909554,0.026005344659909013,0.022403189365823608,0.017106524272392214,0.014439899250010236,0.019647215428250868,0.028191337568128156,0.061628129466011206,0.7602177483146653,0.011242582055713858
2020-08-03,0.018038918259890353,0.013048518072539707,0.00810329756853371,0.007569957214750005,0.00567265313156145,0.008841372681408248,0.01098081060791418,0.029872915030049723,0.8935093221115478,0.004362235321804852
2020-09-01,0.0001939889322323169,0.0001114326085805018,6.318618838811126e-05,5.449200790505135e-05,4.1035967344619455e-05,7.746102634633016e-05,8.352559706349378e-05,0.0003916088081450278,0.9989535137010578,2.9755162936788162e-05
2020-10-01,0.0010870399054024563,0.0008258094935119072,0.0004494702258759801,0.0004390183231697797,0.00031390279025092196,0.0005859172699389947,0.0006218113516553676,0.00303582102402936,0.992415030112294,0.00022617950387106596
2020-11-03,0.011352741036723091,0.010703430361128115,0.00701501865287578,0.005631236861867382,0.004371227697244299,0.007648557060087148,0.008085157254922587,0.023592053256481334,0.9183565003542848,0.0032440774643854157
2020-12-01,0.001100328057954338,0.0010592424681820378,0.0007029855605414205,0.0005375377426765529,0.00046093699434774017,0.0007202911687446707,0.000761265888488888,0.0021703927230211405,0.9921532518101472,0.00033376758589593664
2021-01-04,0.0013335763380275003,0.0012551105266346571,0.0007984806811406865,0.0006523756430158434,0.0005538514705077084,0.0008150818324878169,0.0008959450062011019,0.0019887779846935356,0.9912991939084045,0.00040760660888649924
2021-02-02,0.01153644295813168,0.010192269000131031,0.007429338257875872,0.006367046498596423,0.0056626310805163544,0.00742550054281482,0.008187660952150155,0.018666406750616628,0.9200287939603334,0.00450390999883352
2021-03-02,0.030094713898632785,0.026002349185021326,0.023036891518174937,0.016887296556107465,0.018745584340989312,0.019197614798515394,0.021439788448929038,0.038464231695989545,0.7903222118386846,0.015809317718955433
2021-04-01,0.010900584755709286,0.007685914669068785,0.009313404426033652,0.005695265211471034,0.009080618855130347,0.009190967571392478,0.007118200418794905,0.011951126485511379,0.9213391707666447,0.0077247468402433595
2021-05-03,0.04386121051834219,0.029338967026717067,0.043138695056260494,0.02200422533058137,0.0379282557376694,0.03535270984853848,0.029929886021855756,0.05650754513993315,0.6745266058199407,0.027411899500161378
2021-06-02,0.057912134859294286,0.0447163401941826,0.06460948054113251,0.03841472973206028,0.0682554340817923,0.05147617084735965,0.04729358204311853,0.07469163232293942,0.5049790953787439,0.047651399999376676
2021-07-01,0.06740904870566353,0.05171604434709983,0.08751346903289942,0.049452368207798934,0.08195415384686182,0.06872342201544064,0.056990832078830184,0.12239608706185444,0.3458985195145566,0.06794605518899463
2021-08-03,0.07766766057735033,0.05581868698213079,0.12081874784965328,0.06557196821535684,0.09808957518795512,0.07945642367994514,0.07934471567396359,0.12272063289911556,0.21532962122077273,0.08518196771375662
2021-09-01,0.07812241208441115,0.06535433266017646,0.14178603686363542,0.07605583641746513,0.12345759955813915,0.08718250420807895,0.09229357040979491,0.127736741696451,0.10463439858443074,0.10337656751741713
2021-10-01,0.07482293497786155,0.06209732234239882,0.1341616545760782,0.06655111402881976,0.12572165923525314,0.0799407212248138,0.08461234643391889,0.1012849211006925,0.13335497016478987,0.13745235591537341
2021-11-02,0.06156427308340626,0.046802550155509264,0.09601771157809638,0.05212051915733271,0.09106597194254931,0.052718644965153647,0.08047733329229463,0.11877141272823832,0.2720558696242428,0.12840571347317672
2021-12-01,0.07870725374784564,0.05889393363634997,0.09818089389693085,0.0587694777385647,0.07747804329437008,0.06281424340508893,0.09238867329659001,0.22349407514235645,0.14628603503608115,0.10298737080582228
2022-01-03,0.08477690519848242,0.06139758499012153,0.11504356488580011,0.06722696319890792,0.07913819613138517,0.07556016308315924,0.1013270156936281,0.21029082408601976,0.09860847527885132,0.10663030745364428
2022-02-01,0.09465238661651666,0.06347079641654874,0.10950292125995365,0.07372078256041834,0.08144309660658018,0.08394695808733332,0.09648392326188686,0.1647217043690862,0.08128788669597459,0.15076954412570134
2022-03-01,0.1091868591131942,0.07490221114561811,0.10434325331018675,0.08048647635377097,0.07442053352588608,0.0629498729395555,0.10144021780804781,0.16446307704046748,0.10066060814754553,0.1271468906157277
2022-04-01,0.10571562106709569,0.0719819523878917,0.09683086460758324,0.07583465725095552,0.06278221039337532,0.05339776576441399,0.09379289026847284,0.19410359920710266,0.12598319161252342,0.11957724744058564
