Date,asset,side,notional,cost,realized_gain
2010-02-11,TQQQ,BUY,0.1,0.0,0.0
2010-10-07,TQQQ,BUY,0.9442205145593295,0.0009442205145593296,0.0
2011-06-10,TQQQ,SELL,1.279745290980539,0.001279745290980539,0.3264665848379086
2011-07-01,TQQQ,BUY,1.3563814436083959,0.001356381443608396,0.0
2011-08-05,TQQQ,SELL,1.0903472003974448,0.001090347200397445,-0.2422753681305653
2011-09-20,TQQQ,BUY,1.092558940508183,0.001092558940508183,0.0
2011-09-22,TQQQ,SELL,1.0259726962232447,0.0010259726962232446,-0.18421892919042773
2011-10-13,TQQQ,BUY,1.0704662442277926,0.0010704662442277925,0.0
2011-11-21,TQQQ,SELL,0.9474320919496075,0.0009474320919496077,-0.18456163480206156
2011-12-05,TQQQ,BUY,0.9899271662851623,0.0009899271662851623,0.0
2011-12-15,TQQQ,SELL,0.8699885099901485,0.0008699885099901487,-0.18974727580977127
2011-12-28,TQQQ,BUY,0.8488277730849897,0.0008488277730849898,0.0
2012-06-06,TQQQ,SELL,1.103524700316572,0.0011035247003165721,0.24312557023093812
2012-06-07,TQQQ,BUY,1.0901690820610328,0.0010901690820610329,0.0
2012-10-25,TQQQ,SELL,1.2251594228911933,0.0012251594228911932,0.1211097961392769
2012-11-30,TQQQ,BUY,1.2240462852775171,0.0012240462852775172,0.0
2012-12-10,TQQQ,SELL,1.1739492773855256,0.0011739492773855257,-0.055115096282163975
2012-12-12,TQQQ,BUY,1.1694186265842548,0.0011694186265842547,0.0
2012-12-18,TQQQ,SELL,1.1581945298426872,0.0011581945298426873,0.03164469272589006
2012-12-19,TQQQ,BUY,1.1405457836022583,0.0011405457836022584,0.0
2012-12-28,TQQQ,SELL,1.0605654512360951,0.0010605654512360952,-0.10898315627791345
2013-01-03,TQQQ,BUY,1.0152558739301214,0.0010152558739301215,0.0
2014-10-17,TQQQ,SELL,2.520098211390523,0.002520098211390523,1.5406635433952782
2014-10-21,TQQQ,BUY,2.7266219647745933,0.0027266219647745934,0.0
2015-08-24,TQQQ,SELL,2.7847500992233414,0.0027847500992233412,0.10464151805079808
2015-10-20,TQQQ,BUY,2.8211096906691084,0.0028211096906691087,0.0
2016-01-08,TQQQ,SELL,2.503617647569221,0.0025036176475692214,-0.3253343819891821
2016-03-18,TQQQ,BUY,2.5420418844445622,0.0025420418844445624,0.0
2016-05-02,TQQQ,SELL,2.417276097019283,0.002417276097019283,-0.0681848875411269
2016-05-26,TQQQ,BUY,2.452739854497721,0.002452739854497721,0.0
2016-06-20,TQQQ,SELL,2.2668788738522543,0.002266878873852255,-0.13836900588994885
2016-06-24,TQQQ,BUY,1.9963006493067206,0.0019963006493067207,0.0
2016-06-27,TQQQ,SELL,1.9828806709148463,0.0019828806709148465,-0.1479023107730291
2016-07-05,TQQQ,BUY,1.9781960254738737,0.001978196025473874,0.0
2018-10-15,TQQQ,SELL,7.147837314688216,0.007147837314688216,5.105939269479299
2018-10-17,TQQQ,BUY,7.226692707463559,0.00722669270746356,0.0
2018-10-25,TQQQ,SELL,5.8642473033706635,0.005864247303370664,-0.7713923941832572
2018-11-09,TQQQ,BUY,5.593784655333339,0.00559378465533334,0.0
2018-11-13,TQQQ,SELL,5.09762392494842,0.00509762392494842,-0.5588589536527844
2019-02-20,TQQQ,BUY,4.373549640027358,0.004373549640027358,0.0
2020-03-11,TQQQ,SELL,6.073425858021027,0.006073425858021027,1.0849017957582938
2020-04-14,TQQQ,BUY,6.957483126795936,0.006957483126795937,0.0
2022-01-21,TQQQ,SELL,26.405093164027214,0.026405093164027216,18.841633223216498
2022-08-17,TQQQ,BUY,25.228865305621547,0.02522886530562155,0.0
2022-08-22,TQQQ,SELL,23.70896671606232,0.023708966716062322,-5.029291259122458
2023-01-26,TQQQ,BUY,21.75047952448369,0.021750479524483692,0.0
2023-10-30,TQQQ,SELL,30.470513664928767,0.03047051366492877,7.176817599089941
2023-11-02,TQQQ,BUY,32.283581182704,0.032283581182703996,0.0
2024-08-07,TQQQ,SELL,47.70982393749164,0.047709823937491645,13.100388594120327
2024-08-12,TQQQ,BUY,48.52242300068083,0.04852242300068084,0.0
2025-03-07,TQQQ,SELL,52.34817601270439,0.052348176012704396,3.0043816519613054
2025-05-14,TQQQ,BUY,54.43260169950188,0.054432601699501884,0.0
