Date,asset,side,notional,cost,realized_gain
2010-02-11,TQQQ,BUY,0.1,0.0,0.0
2010-10-06,TQQQ,BUY,0.913522498696332,0.000913522498696332,0.0
2011-06-09,TQQQ,SELL,1.2511285052616852,0.0012511285052616851,0.3703419653034265
2011-07-01,TQQQ,BUY,1.3199614475618298,0.0013199614475618297,0.0
2011-08-05,TQQQ,SELL,1.0610704501772283,0.0010610704501772285,-0.21312155883061004
2011-09-20,TQQQ,BUY,1.0632228031837938,0.001063222803183794,0.0
2011-09-22,TQQQ,SELL,0.9984244562230487,0.0009984244562230488,-0.18300695558429605
2011-10-13,TQQQ,BUY,1.0417233145994984,0.0010417233145994986,0.0
2011-11-21,TQQQ,SELL,0.921992734012506,0.000921992734012506,-0.17608172571807515
2011-12-05,TQQQ,BUY,0.963346779438684,0.000963346779438684,0.0
2011-12-15,TQQQ,SELL,0.8466285781334365,0.0008466285781334366,-0.1227483147666016
2011-12-28,TQQQ,BUY,0.8260360250220474,0.0008260360250220475,0.0
2012-06-06,TQQQ,SELL,1.0738941230094239,0.001073894123009424,0.2943111667655316
2012-06-07,TQQQ,BUY,1.0608971144697268,0.001060897114469727,0.0
2012-10-25,TQQQ,SELL,1.1922628497713132,0.0011922628497713131,0.1481798151418703
2012-11-30,TQQQ,BUY,1.1911796008498483,0.0011911796008498485,0.0
2012-12-10,TQQQ,SELL,1.1424277402524974,0.0011424277402524974,-0.02835092501303557
2012-12-12,TQQQ,BUY,1.1380187412808416,0.0011380187412808416,0.0
2012-12-18,TQQQ,SELL,1.1270960210885332,0.0011270960210885334,0.03591880758711539
2012-12-19,TQQQ,BUY,1.109921158703809,0.001109921158703809,0.0
2012-12-28,TQQQ,SELL,1.0320883663252391,0.0010320883663252393,-0.10444199122182249
2013-01-03,TQQQ,BUY,0.9643711851924205,0.0009643711851924205,0.0
2014-10-17,TQQQ,SELL,2.39379072933811,0.00239379072933811,1.4667449623510826
2014-10-21,TQQQ,BUY,2.589963499115251,0.002589963499115251,0.0
2015-08-24,TQQQ,SELL,2.6445698006800007,0.002644569800680001,0.24897460559617807
2015-10-20,TQQQ,BUY,2.6790991027991935,0.0026790991027991935,0.0
2016-01-08,TQQQ,SELL,2.353396941598487,0.002353396941598487,-0.21472741329155282
2016-03-18,TQQQ,BUY,2.3895156682872374,0.0023895156682872377,0.0
2016-05-02,TQQQ,SELL,2.2722360098586187,0.0022722360098586187,-0.0677693276176994
2016-05-26,TQQQ,BUY,2.305571890226924,0.0023055718902269245,0.0
2016-06-20,TQQQ,SELL,2.1308628391710585,0.0021308628391710585,-0.11792279728286471
2016-06-24,TQQQ,BUY,1.8765197022600126,0.0018765197022600128,0.0
2016-06-27,TQQQ,SELL,1.8639049421210523,0.0018639049421210524,-0.1757861501578555
2016-07-05,TQQQ,BUY,1.859501382230842,0.001859501382230842,0.0
2018-10-15,TQQQ,SELL,6.718956663276071,0.006718956663276071,4.8134454435675424
2018-10-17,TQQQ,BUY,6.793080617613195,0.006793080617613196,0.0
2018-10-25,TQQQ,SELL,5.512383922492746,0.005512383922492746,0.042557436713059914
2018-11-09,TQQQ,BUY,5.258149427331054,0.005258149427331054,0.0
2018-11-13,TQQQ,SELL,4.791759063545741,0.004791759063545741,-0.4613146488034229
2019-02-20,TQQQ,BUY,3.9383811789116887,0.003938381178911689,0.0
2020-03-11,TQQQ,SELL,5.469119607522278,0.005469119607522279,0.9299433046581417
2020-04-15,TQQQ,BUY,5.430539649169022,0.005430539649169022,0.0
2022-01-21,TQQQ,SELL,21.3027052829839,0.021302705282983902,15.68774458602805
2022-08-17,TQQQ,BUY,20.353765801589194,0.020353765801589197,0.0
2022-08-22,TQQQ,SELL,19.127564798916232,0.019127564798916235,-1.489144055641518
2023-01-26,TQQQ,BUY,16.89203695678456,0.016892036956784557,0.0
2023-10-30,TQQQ,SELL,23.664261854125876,0.023664261854125877,7.051824333107073
2023-11-02,TQQQ,BUY,25.072341316508744,0.025072341316508748,0.0
2024-08-07,TQQQ,SELL,36.73449627219824,0.03673449627219824,12.465571636953307
2024-08-12,TQQQ,BUY,37.360162325726854,0.03736016232572686,0.0
2025-03-07,TQQQ,SELL,39.91216497050572,0.039912164970505724,6.0741393595128645
2025-05-14,TQQQ,BUY,41.501407389573615,0.04150140738957362,0.0
