window_id,train_end,val_end,test_end,best_temperature,n_obs_val,n_obs_test,val_ece_uncal,val_ece_cal,test_ece_uncal,test_ece_cal,val_log_loss_uncal,val_log_loss_cal,test_log_loss_uncal,test_log_loss_cal,warning
0,2023-01-04,2024-01-04,2024-12-31,0.7380952381,251,123,0.0900200704,0.1113584190,0.2379159925,0.1717203657,0.4915103323,0.4791027803,0.2721186629,0.1887978767,
1,2023-07-04,2024-07-04,2024-12-31,,251,0,0.1331239362,,,,0.4372645433,,,,SWEEP_SKIP:insufficient_obs
