date,return
2012-07-03,0.008348667831219743
2012-07-05,0.004468482675680759
2012-07-06,0.0008401632744747525
2012-07-09,0.006476971585717363
2012-07-10,-0.022266726664570375
2012-07-11,-0.001796495135467033
2012-07-12,-0.0030947936051270294
2012-07-13,0.011660333613854748
2012-07-16,-0.0020247810169575515
2012-07-17,-0.0029564383650964375
2012-07-18,-0.0013222197809371194
2012-07-19,-0.005380354510226123
2012-07-20,-0.019262289797363844
2012-07-23,-0.016262131910734744
2012-07-24,-0.007545694131600132
2012-07-25,0.001813749732698813
2012-07-26,0.003993608815348829
2012-07-27,0.02385120248906932
2012-07-30,-0.004483850397764152
2012-07-31,-0.00102637937348069
2012-08-01,-0.017832613346354654
2012-08-02,0.0015824017824013653
2012-08-03,0.019240565432505297
2012-08-06,0.008027857989307732
2012-08-07,0.009081740302736513
2012-08-08,-0.0008150554420050483
2012-08-09,-0.004207151266426363
2012-08-10,-0.010067693247970117
2012-08-13,-0.0081507507861075
2012-08-14,0.007589560512658155
2012-08-15,0.012473906687200262
2012-08-16,0.012320547297124063
2012-08-17,0.008738751546800419
2012-08-20,-0.0012882774952479293
2012-08-21,-0.00843251897452626
2012-08-22,0.010389686097716642
2012-08-23,-0.006509221920733539
2012-08-24,0.004903350956820708
2012-08-27,-4.351356173730935e-05
2012-08-28,0.008040852831950171
2012-08-29,0.01148899478451623
2012-08-30,-0.013719110958457958
2012-08-31,0.007282277300481233
2012-09-04,0.013016590081810112
2012-09-05,-0.0034473554820753025
2012-09-06,0.014342362696620734
2012-09-07,-0.001283329037194185
2012-09-10,-0.007726661477955674
2012-09-11,4.4579843549259843e-05
2012-09-12,0.00921331350995176
2012-09-13,0.01763995536206368
2012-09-14,0.010306042255996524
2012-09-17,0.001990187496246012
2012-09-18,-0.00964382986851103
2012-09-19,0.007696068606243464
2012-09-20,0.004888292772385148
2012-09-21,0.004909788521672181
2012-09-24,-0.009301790223359169
2012-09-25,-0.013854622360419505
2012-09-26,-0.02087617292531666
2012-09-27,0.02086306372520136
2012-09-28,-0.006152914040598185
2012-10-01,0.010205232150443751
2012-10-02,0.003929175786214768
2012-10-03,0.02260689521428745
2012-10-04,0.009253785920694807
2012-10-05,-0.0058760490093084025
2012-10-08,-0.011927791330904328
2012-10-09,-0.0225871555243241
2012-10-10,-0.001123616012651985
2012-10-11,0.004865316070944612
2012-10-12,-0.0010035356877296066
2012-10-15,0.010886955427403975
2012-10-16,0.017411468138224653
2012-10-17,0.013859881505660875
2012-10-18,-0.007500339059017161
2012-10-19,-0.017356668946098573
2012-10-22,-0.0017726928966533874
2012-10-23,-0.018081099369833084
2012-10-24,0.011687295855975569
2012-10-25,-0.004539219081113664
2012-10-26,-0.011806246585912568
2012-10-31,0.004521094952535808
2012-11-01,0.011871668831870439
2012-11-02,-0.018242949183931954
2012-11-05,0.011011831017699474
2012-11-06,0.004210148283488546
2012-11-07,-0.013481524286858549
2012-11-08,-0.00015641745937233472
2012-11-09,-0.0016637070881393328
2012-11-12,-0.007014761548025385
2012-11-13,0.005165146016768308
2012-11-14,-0.03247305936602893
2012-11-15,-0.0204863244767204
2012-11-16,0.017485727438539267
2012-11-19,0.026516335131747174
2012-11-20,0.008184812376572545
2012-11-21,0.012610193920715874
2012-11-23,0.009140394765937206
2012-11-26,0.00793005343138999
2012-11-27,-0.003441635190554374
2012-11-28,0.005346563626004672
2012-11-29,0.01342509189456826
2012-11-30,-0.008686283427052872
2012-12-03,-0.0005231226957727772
2012-12-04,0.0017922357115933325
2012-12-05,-0.019325596949747274
2012-12-06,-0.0024618070471718757
2012-12-07,0.0005188163227199997
2012-12-10,0.004146009268471389
2012-12-11,0.013394267016851593
2012-12-12,0.007082911781154859
2012-12-13,-0.00427319837836883
2012-12-14,-0.010191391965707931
2012-12-17,0.027627436632803558
2012-12-18,0.008133665701948421
2012-12-19,-0.0031415741592367747
2012-12-20,0.0022065289554231773
2012-12-21,-0.011697621687576338
2012-12-24,0.0030585967175706724
2012-12-26,-0.013309961587390107
2012-12-27,0.0011672293703721606
2012-12-28,-0.007924217741426829
2012-12-31,0.02442555718263187
2013-01-02,0.035509150719982945
2013-01-03,0.0031735419810629845
2013-01-04,0.007578259337124638
2013-01-07,0.0046220001425590854
2013-01-08,0.006221848679938222
2013-01-09,0.01343254320824085
2013-01-10,0.0007191030324653494
2013-01-11,-0.005195351055673068
2013-01-14,-0.0012691648468911533
2013-01-15,0.00942587807803328
2013-01-16,-0.0055623021450011915
2013-01-17,0.0025686367299293028
2013-01-18,0.0008782823883955963
2013-01-22,0.015648742872199754
2013-01-23,0.005069352664482291
2013-01-24,-9.750129434391605e-05
2013-01-25,0.011858957755204182
2013-01-28,-0.007427048481472185
2013-01-29,0.009714007820659879
2013-01-30,-0.003797601966566611
2013-01-31,-0.015457720276582902
2013-02-01,0.0056834403662334105
2013-02-04,-0.011798155475260239
2013-02-05,0.011672846474026742
2013-02-06,0.006756717490651041
2013-02-07,-0.01017085389589973
2013-02-08,0.002195105714132642
2013-02-11,-0.00016862892153536786
2013-02-12,0.00886462051497175
2013-02-13,0.010049535362873119
2013-02-14,-0.010593668415564785
2013-02-15,-0.005562904714855736
2013-02-19,-0.0005635532113809239
2013-02-20,-0.023786607732173587
2013-02-21,-0.014708609403798605
2013-02-22,0.011283448631554017
2013-02-25,-0.03145328784306621
2013-02-26,0.014670216761413592
2013-02-27,0.015695665431826468
2013-02-28,0.004453380045414759
2013-03-01,0.013005465588462176
2013-03-04,0.009700938092488072
2013-03-05,0.01336293162816216
