date,trigger,portfolio_value
2011-08-04,TQQQ_STOP (-19.4%),1.4065811232992418
2011-08-08,QQQ_CRASH (-6.0%),1.3831150393708493
2011-11-21,TQQQ_STOP (-16.1%),1.2099433315873653
2018-10-24,TQQQ_STOP (-19.6%),9.10201491650488
2020-02-27,QQQ_CRASH (-5.0%),14.104155209636364
2020-03-09,TQQQ_STOP (-30.0%),13.862299492970752
2020-03-12,QQQ_CRASH (-9.2%),13.602182807103757
2020-03-16,QQQ_CRASH (-12.0%),13.586408452209112
2020-09-03,QQQ_CRASH (-5.1%),42.55281174987192
2022-05-05,QQQ_CRASH (-5.0%),70.91411965586504
2022-09-13,QQQ_CRASH (-5.5%),64.55620240855075
2025-04-03,QQQ_CRASH (-5.4%),173.39200398529985
2025-04-04,QQQ_CRASH (-6.2%),170.63689582609288
