date,cost
2017-07-03,0.0015000000000000002
2017-10-03,0.0011040425215249042
2018-01-03,0.0012129107468841756
2018-04-03,0.0011733502385798626
2018-07-03,0.0012389038412561942
2018-10-02,0.0012118632491478897
2019-01-02,0.0010900197776074784
2019-04-02,0.001275312160753509
2019-07-02,0.0013758559118235434
2019-10-01,0.0013984320633661338
2020-01-02,0.0016722472385341206
2020-04-01,0.0011083734553036563
2020-07-01,0.0011293738683726471
2020-10-01,0.0012155359198285233
2021-01-04,0.0015938274046489735
2021-04-01,0.0017173855871249711
2021-07-01,0.0020022368194310405
2021-10-01,0.0019412207611421643
2022-01-03,0.0022114146749247577
2022-04-01,0.002225628746921848
2022-07-01,0.0017507305714879258
2022-10-03,0.001733110791682198
2023-01-04,0.0019046165748371983
2023-04-03,0.002068399607600424
2023-07-03,0.0022422118098188587
2023-10-03,0.002123278485830653
2024-01-03,0.0022641187950280736
2024-04-02,0.002336676372577604
2024-07-02,0.002191806809157894
2024-10-01,0.0024577611673704696
