as_of_date,train_end,val_end,n_dates,n_tickers,n_sectors,baseline_ic_spearman,baseline_hit_rate_top1,mlp_ic_spearman,mlp_hit_rate_top1,baseline_tie_frac,mlp_tie_frac
2024-12-31,2021-12-31,2022-12-31,35,1636,9,0.06866666666666667,0.32,0.041333333333333326,0.0,0.2506112469437653,0.2506112469437653
2022-12-31,2019-12-31,2020-12-31,35,1636,9,0.21533333333333335,0.36,-0.044,0.04,0.2506112469437653,0.2506112469437653
